,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
221,american milkshake,Comedy,10,0,9,26,22,0.0,2013,R,20 Jan 2013,83 min,30.0,4.8,309,tt2254364,
222,"apartment, the",Comedy,0,0,2,0,0,,,,,,,,,,
223,arthur,Comedy,5,2,1,8,15,0.0,2011,PG-13,08 Apr 2011,110 min,36.0,5.7,"50,207",tt1334512,"$29,200,000"
224,american pie,Comedy,6,0,9,33,29,0.0,1999,R,09 Jul 1999,95 min,58.0,7.0,"367,618",tt0163651,
225,tombstone,Western,4,5,27,1,1,0.0,1993,R,25 Dec 1993,130 min,50.0,7.8,"122,147",tt0108358,
226,12,Comedy,0,0,0,0,0,0.0,2007,PG-13,20 Sep 2007,159 min,72.0,7.7,"13,680",tt0488478,
227,true grit,Western,1,3,9,0,0,0.0,2010,PG-13,22 Dec 2010,110 min,80.0,7.6,"301,962",tt1403865,"$171,031,347"
228,a serious man,Comedy,4,0,0,17,6,0.0,2009,R,06 Nov 2009,106 min,83.0,7.0,"129,672",tt1019452,"$9,190,525"
229,ace ventura: pet detective,Comedy,0,0,0,0,0,0.0,1994,PG-13,04 Feb 1994,86 min,37.0,6.9,"270,197",tt0109040,
230,bamboozled,Drama,13,3,12,1,1,0.0,2000,R,20 Oct 2000,135 min,50.0,6.5,"9,814",tt0215545,"$1,883,628"
231,being there,Drama,6,3,6,1,3,0.0,1979,PG,08 Feb 1980,130 min,83.0,8.0,"63,525",tt0078841,
232,basquiat,Drama,2,0,3,21,13,0.0,1996,R,09 Aug 1996,107 min,65.0,6.9,"18,958",tt0115632,
233,"bachelor party, the",Drama,0,0,0,0,0,,,,,,,,,,
234,awakenings,Drama,0,0,0,0,0,0.0,1990,PG-13,11 Jan 1991,121 min,74.0,7.8,"119,327",tt0099077,
235,anna karenina,Drama,0,0,3,0,0,0.0,2012,R,07 Sep 2012,129 min,63.0,6.6,"89,166",tt1781769,"$12,802,907"
236,"anniversary party, the",Drama,2,3,13,65,18,,,,,,,,,,
237,american splendor,Drama,6,2,9,3,18,0.0,2003,R,12 Sep 2003,101 min,90.0,7.4,"46,666",tt0305206,"$5,977,550"
238,an education,Drama,1,0,0,0,0,0.0,2009,PG-13,05 Feb 2010,100 min,85.0,7.3,"126,214",tt1174732,"$12,512,069"
239,august: osage county,Drama,12,5,32,38,25,0.0,2013,R,10 Jan 2014,121 min,58.0,7.2,"82,453",tt1322269,"$29,202,643"
240,"believer, the",Drama,7,0,1,36,15,,,,,,,,,,
241,american sniper,Drama,20,3,3,60,28,0.0,2014,R,16 Jan 2015,133 min,72.0,7.3,"426,179",tt2179136,"$274,377,268"
242,american madness,Drama,0,0,0,0,0,0.0,1932,Passed,15 Aug 1932,75 min,,7.4,"1,739",tt0022626,
243,american graffiti,Drama,7,11,8,0,11,0.0,1973,PG,11 Aug 1973,110 min,97.0,7.4,"79,136",tt0069704,
244,at first sight,Drama,0,0,0,0,0,0.0,1999,PG-13,15 Jan 1999,128 min,40.0,6.0,"12,687",tt0132512,
245,beloved,Drama,0,1,8,0,1,0.0,1998,R,16 Oct 1998,172 min,57.0,6.0,"6,937",tt0120603,
246,american beauty,Drama,7,2,3,21,10,0.0,1999,R,01 Oct 1999,122 min,84.0,8.3,"1,041,670",tt0169547,
247,"best exotic marigold hotel, the",Drama,0,0,0,2,0,,,,,,,,,,
248,amelia,Drama,2,0,5,1,1,0.0,2009,PG,23 Oct 2009,111 min,37.0,5.8,"11,770",tt1129445,"$14,195,118"
249,wild wild west,Western,9,0,11,1,5,0.0,1999,PG-13,30 Jun 1999,106 min,38.0,4.9,"150,148",tt0120891,
250,"wild bunch, the",Western,4,4,27,0,0,,,,,,,,,,
251,all about eve,Drama,0,0,1,0,0,0.0,1950,Passed,27 Oct 1950,138 min,98.0,8.2,"116,403",tt0042192,
252,all the king's men,Drama,0,0,0,0,0,0.0,2006,PG-13,22 Sep 2006,128 min,37.0,6.2,"23,302",tt0405676,
253,12 years a slave,Drama,0,1,25,1,0,0.0,2013,R,08 Nov 2013,134 min,96.0,8.1,"617,390",tt2024544,"$50,628,650"
254,ali,Drama,3,0,6,11,2,0.0,2001,R,25 Dec 2001,157 min,65.0,6.8,"91,630",tt0248667,"$58,183,966"
255,50-50,Drama,4,2,2,26,15,0.0,2011,,,15 min,,6.1,34,tt1833204,
256,amadeus,Drama,0,0,3,2,6,0.0,1984,R,19 Sep 1984,160 min,88.0,8.3,"357,893",tt0086879,
257,187,Drama,10,11,11,37,27,,,,,,,,,,
258,42,Drama,1,3,8,0,3,0.0,2013,PG-13,12 Apr 2013,128 min,62.0,7.5,"81,222",tt0453562,"$95,001,343"
259,walking tall,Thriller,3,1,0,1,1,0.0,2004,PG-13,02 Apr 2004,86 min,44.0,6.3,"69,155",tt0351977,"$45,860,039"
260,affliction,Drama,8,11,22,53,17,0.0,1997,R,19 Feb 1999,114 min,79.0,7.0,"14,661",tt0118564,
261,12 and holding,Drama,9,2,3,10,10,0.0,2005,R,07 Jul 2006,94 min,65.0,7.5,"6,623",tt0417385,
262,very bad things,Thriller,8,2,6,66,11,0.0,1998,R,25 Nov 1998,100 min,31.0,6.4,"44,249",tt0124198,
263,adaptation,Drama,7,1,11,39,15,,,,,,,,,,
264,zero dark thirty,Thriller,4,1,1,45,7,0.0,2012,R,11 Jan 2013,157 min,95.0,7.4,"264,319",tt1790885,"$95,720,716"
265,wild things,Crime,9,6,4,22,27,0.0,1998,R,20 Mar 1998,108 min,52.0,6.5,"105,203",tt0120890,
266,wall street,Crime,7,10,10,3,6,0.0,1987,R,11 Dec 1987,126 min,56.0,7.4,"139,830",tt0094291,
267,we own the night,Crime,5,1,5,65,15,0.0,2007,R,12 Oct 2007,117 min,59.0,6.8,"83,351",tt0498399,"$27,600,000"
268,wanted,Crime,10,5,17,23,14,0.0,2008,R,27 Jun 2008,110 min,64.0,6.7,"353,077",tt0493464,"$134,294,280"
269,while she was out,Crime,12,12,4,5,12,0.0,2008,R,26 Mar 2009,86 min,40.0,4.8,"6,285",tt0887971,
270,"wolf of wall street, the",Crime,13,5,5,180,36,,,,,,,,,,
271,"whistleblower, the",Thriller,2,1,1,20,7,,,,,,,,,,
272,ticker,Crime,1,2,2,15,11,0.0,2001,R,23 Jun 2001,92 min,,3.6,"6,489",tt0196158,
273,traffic,Crime,1,0,3,48,17,0.0,2000,R,05 Jan 2001,147 min,86.0,7.6,"192,068",tt0181865,"$123,836,420"
274,phone booth,Thriller,9,6,8,49,19,0.0,2002,R,04 Apr 2003,81 min,56.0,7.0,"246,069",tt0183649,"$46,524,362"
275,shifty,Thriller,0,0,0,176,14,0.0,2008,Unrated,24 Apr 2009,85 min,,6.5,"2,826",tt1104126,
276,single white female,Thriller,1,3,1,6,4,0.0,1992,R,14 Aug 1992,107 min,63.0,6.4,"31,211",tt0105414,
277,spare me,Thriller,2,1,0,15,3,0.0,1994,,03 Sep 1994,,,6.7,27,tt0108200,
278,"siege, the",Thriller,7,2,4,20,10,,,,,,,,,,
279,"taking of pelham one two three, the",Crime,8,8,4,19,19,,,,,,,,,,
280,taxi driver,Crime,5,2,11,23,8,0.0,1976,R,09 Feb 1976,114 min,94.0,8.3,"695,384",tt0075314,
281,year one,Adventure,9,0,2,1,5,0.0,2009,PG-13,19 Jun 2009,97 min,34.0,4.9,"90,154",tt1045778,"$43,337,279"
282,white squall,Adventure,1,7,8,6,9,0.0,1996,PG-13,02 Feb 1996,129 min,53.0,6.6,"20,658",tt0118158,
283,"way back, the",Adventure,0,0,5,2,3,,,,,,,,,,
284,xxx,Adventure,11,6,8,0,19,0.0,2002,PG-13,09 Aug 2002,124 min,48.0,5.9,"171,012",tt0295701,"$141,134,092"
285,tomorrow never dies,Adventure,1,0,7,0,0,0.0,1997,PG-13,19 Dec 1997,119 min,52.0,6.5,"176,993",tt0120347,
286,"world is not enough, the",Adventure,1,0,1,0,0,,,,,,,,,,
287,war for the planet of the apes,Adventure,0,0,0,1,1,0.0,2017,PG-13,14 Jul 2017,140 min,82.0,7.4,"220,013",tt3450958,"$146,872,826"
288,thunderbirds,Adventure,1,0,2,0,0,0.0,2004,PG,30 Jul 2004,95 min,36.0,4.2,"12,891",tt0167456,"$6,768,055"
289,thelma & louise,Crime,15,6,38,18,44,0.0,1991,R,24 May 1991,130 min,88.0,7.5,"131,689",tt0103074,
290,someone to watch over me,Crime,12,1,8,34,9,0.0,1987,R,09 Oct 1987,106 min,55.0,6.1,"9,057",tt0094008,
291,thor ragnarok,Adventure,6,1,2,0,3,,,,,,,,,,
292,wild hogs,Adventure,20,8,9,0,12,0.0,2007,PG-13,02 Mar 2007,100 min,27.0,5.8,"112,516",tt0486946,"$168,213,584"
293,"sting, the",Crime,2,1,10,3,2,,,,,,,,,,
294,snatch,Crime,1,0,0,155,9,0.0,2000,R,19 Jan 2001,102 min,55.0,8.3,"760,412",tt0208092,"$30,093,107"
295,spartan,Crime,1,6,0,32,2,0.0,2004,R,12 Mar 2004,106 min,60.0,6.5,"28,734",tt0360009,"$4,291,858"
296,shallow grave,Crime,0,0,0,5,1,0.0,1994,R,10 Feb 1995,89 min,67.0,7.3,"55,486",tt0111149,
297,sicario,Crime,4,1,2,32,9,0.0,2015,R,02 Oct 2015,121 min,82.0,7.6,"356,809",tt3397884,
298,rush hour,Crime,17,3,23,40,28,0.0,1998,PG-13,18 Sep 1998,98 min,60.0,7.0,"232,877",tt0120812,
299,reservoir dogs,Crime,31,10,13,200,67,0.0,1992,R,02 Sep 1992,99 min,79.0,8.3,"888,475",tt0105236,
300,rush hour 2,Crime,16,1,7,0,24,0.0,2001,PG-13,03 Aug 2001,90 min,48.0,6.6,"194,706",tt0266915,
301,"salton sea, the",Crime,17,4,5,40,19,,,,,,,,,,
302,ronin,Crime,7,6,13,35,12,0.0,1998,R,25 Sep 1998,122 min,67.0,7.3,"168,282",tt0122690,
303,rocknrolla,Crime,0,0,0,55,11,0.0,2008,R,31 Oct 2008,114 min,53.0,7.3,"229,434",tt1032755,"$5,665,302"
304,reindeer games,Crime,3,2,26,61,14,0.0,2000,R,25 Feb 2000,104 min,37.0,5.8,"36,767",tt0184858,
305,smokin' aces,Crime,17,10,13,65,53,0.0,2006,R,26 Jan 2007,108 min,45.0,6.7,"135,631",tt0475394,"$35,600,000"
306,scarface,Crime,6,1,3,42,14,0.0,1983,R,09 Dec 1983,170 min,65.0,8.3,"711,819",tt0086250,"$656,161"
307,pineapple express,Crime,11,5,2,194,61,0.0,2008,R,06 Aug 2008,111 min,64.0,6.9,"308,770",tt0910936,
308,panic room,Thriller,5,0,5,30,12,0.0,2002,R,29 Mar 2002,112 min,65.0,6.8,"250,791",tt0258000,"$95,308,367"
309,observe and report,Crime,18,10,34,87,46,0.0,2009,R,10 Apr 2009,86 min,54.0,5.8,"59,971",tt1197628,"$23,993,605"
310,mini's first time,Crime,2,8,7,25,9,0.0,2006,R,09 Aug 2007,91 min,45.0,5.8,"7,915",tt0425253,"$21,828"
311,only god forgives,Thriller,0,1,0,28,2,0.0,2013,R,22 May 2013,90 min,37.0,5.7,"105,083",tt1602613,"$700,000"
312,ocean's eleven,Thriller,1,2,7,7,14,0.0,2001,PG-13,07 Dec 2001,116 min,74.0,7.7,"500,741",tt0240772,"$183,349,128"
313,public enemies,Crime,2,5,11,3,3,0.0,2009,R,01 Jul 2009,140 min,70.0,7.0,"275,023",tt1152836,"$97,000,000"
314,"perfect world, a",Crime,9,3,13,2,12,,,,,,,,,,
315,ocean's twelve,Thriller,1,1,6,1,4,0.0,2004,PG-13,10 Dec 2004,125 min,58.0,6.5,"349,441",tt0349903,"$125,402,117"
316,obsessed,Thriller,7,4,6,8,3,0.0,2009,PG-13,24 Apr 2009,108 min,25.0,5.0,"28,685",tt1198138,"$68,261,644"
317,nurse betty,Thriller,12,4,32,45,30,0.0,2000,R,08 Sep 2000,110 min,69.0,6.1,"32,505",tt0171580,
318,pulp fiction,Crime,41,13,22,169,72,0.0,1994,R,14 Oct 1994,154 min,94.0,8.9,"1,764,981",tt0110912,
319,ninja assassin,Thriller,1,1,3,29,6,0.0,2009,R,25 Nov 2009,99 min,34.0,6.3,"66,929",tt1186367,"$38,105,077"
320,nick of time,Thriller,3,5,4,22,8,0.0,1995,R,22 Nov 1995,90 min,,6.3,"37,916",tt0113972,
321,no country for old men,Thriller,5,2,9,2,1,0.0,2007,R,21 Nov 2007,122 min,91.0,8.1,"823,136",tt0477348,"$74,223,625"
322,mr brooks,Thriller,10,1,2,29,4,,,,,,,,,,
323,martha marcy may marlene,Thriller,4,0,1,14,5,0.0,2011,R,21 Dec 2011,102 min,75.0,6.9,"47,560",tt1441326,"$2,981,038"
324,margin call,Thriller,2,0,3,67,11,0.0,2011,R,29 Sep 2011,107 min,76.0,7.1,"112,802",tt1615147,"$600,000"
325,machete,Thriller,10,12,11,50,14,0.0,2010,R,03 Sep 2010,105 min,60.0,6.6,"187,641",tt0985694,"$26,200,000"
326,snow white and the huntsman,Adventure,1,0,2,0,0,0.0,2012,PG-13,01 Jun 2012,127 min,57.0,6.1,"267,818",tt1735898,"$155,081,785"
327,metro,Thriller,5,5,6,45,27,0.0,1997,R,17 Jan 1997,117 min,,5.5,"25,096",tt0119664,
328,midnight express,Thriller,14,1,8,43,21,0.0,1978,R,06 Oct 1978,121 min,59.0,7.6,"71,083",tt0077928,
329,rambo: first blood ii: the mission,Adventure,4,4,7,12,8,,,,,,,,,,
330,point break,Adventure,14,4,15,54,31,0.0,1991,R,12 Jul 1991,122 min,58.0,7.3,"150,813",tt0102685,
331,miller's crossing,Thriller,1,16,23,1,2,0.0,1990,R,05 Oct 1990,115 min,66.0,7.7,"123,096",tt0100150,
332,"road, the",Adventure,5,1,4,3,1,,,,,,,,,,
333,pirates of the caribbean,Adventure,0,0,5,0,0,,,,,,,,,,
334,robin hood: prince of thieves,Adventure,2,1,19,0,0,0.0,1991,PG-13,14 Jun 1991,143 min,51.0,6.9,"173,748",tt0102798,
335,master and commander,Adventure,0,0,8,0,0,,,,,,,,,,
336,mission impossible,Adventure,5,4,6,1,1,,,,,,,,,,
337,"revenant, the",Adventure,4,3,6,1,9,,,,,,,,,,
338,"man who knew too much, the",Adventure,0,0,1,0,0,,,,,,,,,,
339,man in the iron mask,Adventure,0,0,0,0,2,,,,,,,,,,
340,o brother where art thou?,Adventure,3,10,41,0,0,,,,,,,,,,
341,"secret life of walter mitty, the",Adventure,2,0,2,18,8,,,,,,,,,,
342,sideways,Adventure,6,2,6,80,16,0.0,2004,R,21 Jan 2005,127 min,94.0,7.5,"175,791",tt0375063,"$71,444,367"
343,machine gun preacher,Crime,1,4,6,28,13,0.0,2011,R,02 Nov 2011,129 min,43.0,6.8,"61,962",tt1586752,"$400,000"
344,made,Crime,22,3,10,126,85,0.0,2001,R,31 Aug 2001,95 min,62.0,6.4,"16,911",tt0227005,"$3,673,981"
345,max payne,Crime,2,2,1,0,7,0.0,2008,PG-13,17 Oct 2008,100 min,31.0,5.4,"120,508",tt0467197,"$40,632,110"
346,"man who wasn't there, the",Crime,2,6,26,0,0,,,,,,,,,,
347,"mechanic, the",Crime,3,5,6,10,7,,,,,,,,,,
348,miami vice,Crime,4,2,1,23,10,0.0,2006,R,28 Jul 2006,132 min,65.0,6.0,"107,576",tt0430357,"$63,400,000"
349,man on fire,Crime,6,0,3,19,6,0.0,2004,R,23 Apr 2004,146 min,47.0,7.7,"321,537",tt0328107,"$77,600,000"
350,mean streets,Crime,0,2,3,11,12,0.0,1973,R,14 Oct 1973,112 min,96.0,7.3,"95,563",tt0070379,
351,"limey, the",Crime,6,1,0,33,12,,,,,,,,,,
352,"lock, stock and two smoking barrels",Thriller,0,0,0,85,16,0.0,1998,R,28 Aug 1998,107 min,66.0,8.2,"520,258",tt0120735,
353,jackie brown,Crime,52,8,14,109,64,0.0,1997,R,25 Dec 1997,154 min,64.0,7.5,"306,026",tt0119396,
354,"king of comedy, the",Crime,1,0,3,0,2,,,,,,,,,,
355,"ladykillers, the",Crime,21,7,17,73,19,,,,,,,,,,
356,les tontons flingueurs,Crime,0,0,0,0,0,,,,,,,,,,
357,"lincoln lawyer, the",Thriller,4,6,2,13,23,,,,,,,,,,
358,law abiding citizen,Thriller,15,5,8,43,32,0.0,2009,R,16 Oct 2009,109 min,34.0,7.4,"264,575",tt1197624,"$73,343,413"
359,lord of war,Crime,2,0,2,54,3,0.0,2005,R,16 Sep 2005,122 min,62.0,7.6,"288,049",tt0399295,"$24,033,036"
360,"kingdom, the",Thriller,3,0,1,12,6,,,,,,,,,,
361,killing zoe,Thriller,10,5,7,82,21,0.0,1993,R,01 Sep 1994,96 min,,6.5,"19,391",tt0110265,
362,"last boy scout, the",Thriller,24,22,16,143,62,,,,,,,,,,
363,"life of david gale, the",Thriller,0,0,6,32,12,,,,,,,,,,
364,"long kiss goodnight, the",Thriller,16,13,13,97,20,,,,,,,,,,
365,john wick,Thriller,2,1,1,36,9,0.0,2014,R,24 Oct 2014,101 min,68.0,7.4,"514,375",tt2911666,
366,joker,Thriller,10,0,0,36,15,0.0,2019,R,04 Oct 2019,122 min,59.0,8.5,"809,274",tt7286456,
367,into the woods,Adventure,0,0,0,0,0,0.0,2014,PG,25 Dec 2014,125 min,69.0,5.9,"128,879",tt2180411,"$89,789,227"
368,kill bill volume 1 & 2,Thriller,18,28,17,48,23,,,,,,,,,,
369,kalifornia,Thriller,7,7,9,22,14,0.0,1993,R,03 Sep 1993,117 min,49.0,6.7,"49,891",tt0107302,
370,jay and silent bob strike back,Adventure,38,40,6,202,84,0.0,2001,R,24 Aug 2001,104 min,51.0,6.8,"146,326",tt0261392,"$29,885,424"
371,"italian job, the",Adventure,4,2,4,7,16,,,,,,,,,,
372,hudson hawk,Crime,6,5,18,16,13,0.0,1991,R,24 May 1991,100 min,17.0,5.8,"50,686",tt0102070,
373,life of pi,Adventure,0,0,0,0,0,0.0,2012,PG,21 Nov 2012,127 min,79.0,7.9,"566,900",tt0454876,"$103,500,000"
374,into the wild,Adventure,4,0,2,4,7,0.0,2007,R,19 Oct 2007,148 min,73.0,8.1,"556,447",tt0758758,"$18,173,360"
375,jacob's ladder,Thriller,1,7,29,19,20,0.0,1990,R,02 Nov 1990,113 min,62.0,7.5,"95,662",tt0099871,
376,indiana jones and the last crusade,Adventure,0,0,5,0,0,0.0,1989,PG-13,24 May 1989,127 min,65.0,8.2,"671,347",tt0097576,
377,indiana jones and the raiders of the lost ark,Adventure,0,1,3,0,1,,,,,,,,,,
378,indiana jones and the temple of doom,Adventure,2,0,8,0,1,0.0,1984,PG,23 May 1984,118 min,57.0,7.6,"434,438",tt0087469,
379,in the bedroom,Crime,2,3,1,5,3,0.0,2001,R,08 Feb 2002,131 min,86.0,7.4,"36,572",tt0247425,"$35,733,119"
380,guardians of the galaxy vol 2,Adventure,5,1,9,0,4,,,,,,,,,,
381,henry's crime,Crime,0,2,7,12,11,0.0,2010,R,14 Jan 2011,108 min,49.0,6.0,"18,377",tt1220888,"$100,000"
382,"grifters, the",Crime,0,1,8,4,5,,,,,,,,,,
383,gran torino,Crime,8,20,36,31,18,0.0,2008,R,09 Jan 2009,116 min,72.0,8.1,"702,888",tt1205489,"$148,055,047"
384,horrible bosses,Crime,9,4,8,48,27,0.0,2011,R,08 Jul 2011,98 min,57.0,6.9,"413,492",tt1499658,"$116,900,000"
385,john q,Thriller,0,0,0,0,0,0.0,2002,PG-13,15 Feb 2002,116 min,30.0,7.1,"120,302",tt0251160,"$71,026,631"
386,indiana jones iv,Adventure,0,2,3,0,0,,,,,,,,,,
387,harold and kumar go to white castle,Adventure,42,3,1,53,66,,,,,,,,,,
388,gone in 60 seconds,Crime,15,3,15,9,33,0.0,2000,PG-13,09 Jun 2000,118 min,35.0,6.5,"255,572",tt0187078,"$100,978,700"
389,frozen river,Crime,3,4,2,5,8,0.0,2008,R,05 Sep 2008,97 min,82.0,7.1,"24,235",tt0978759,"$2,061,019"
390,death to smoochy,Crime,16,7,5,39,12,0.0,2002,R,29 Mar 2002,109 min,38.0,6.4,"38,056",tt0266452,"$8,308,230"
391,get shorty,Crime,0,0,0,0,0,0.0,1995,R,20 Oct 1995,105 min,82.0,6.9,"74,125",tt0113161,
392,godfather part ii,Crime,3,5,8,2,3,,,,,,,,,,
393,"insider, the",Thriller,4,0,4,34,11,,,,,,,,,,
394,drive,Crime,4,0,1,43,3,0.0,2011,R,16 Sep 2011,100 min,78.0,7.8,"552,974",tt0780504,"$34,300,000"
395,gangs of new york,Crime,0,2,21,0,1,0.0,2002,R,20 Dec 2002,167 min,72.0,7.5,"393,904",tt0217505,"$77,605,296"
396,insomnia,Thriller,6,4,4,21,13,0.0,2002,R,24 May 2002,118 min,78.0,7.2,"265,985",tt0278504,"$67,300,000"
397,go,Crime,14,6,2,61,34,0.0,1999,R,09 Apr 1999,102 min,72.0,7.2,"65,835",tt0139239,
398,gang related,Crime,16,4,25,103,47,0.0,1997,R,08 Oct 1997,111 min,,6.5,"7,732",tt0118900,
399,hostage,Thriller,19,2,15,73,25,0.0,2005,R,11 Mar 2005,113 min,44.0,6.6,"105,076",tt0340163,"$34,617,915"
400,heist,Thriller,2,3,2,33,5,0.0,2001,R,09 Nov 2001,109 min,66.0,6.5,"32,600",tt0252503,"$23,287,872"
401,heat,Thriller,8,5,2,44,8,0.0,1995,R,15 Dec 1995,170 min,76.0,8.2,"557,580",tt0113277,
402,"ghost and the darkness, the",Thriller,0,1,4,1,1,,,,,,,,,,
403,get carter,Thriller,0,4,0,2,5,0.0,2000,R,06 Oct 2000,102 min,24.0,5.2,"31,985",tt0208988,"$14,551,088"
404,"hurt locker, the",Thriller,1,1,7,34,17,,,,,,,,,,
405,godfather,Crime,1,6,4,0,0,0.0,1991,Not Rated,15 Nov 1991,150 min,,8.6,"2,644",tt0353496,
406,"hunt for red october, the",Thriller,3,0,6,3,1,,,,,,,,,,
407,hard rain,Thriller,3,3,11,3,15,0.0,1998,R,16 Jan 1998,97 min,36.0,5.9,"31,475",tt0120696,
408,"informant, the",Thriller,0,0,8,12,8,,,,,,,,,,
409,hackers,Thriller,4,1,1,1,24,0.0,1995,PG-13,15 Sep 1995,105 min,46.0,6.3,"64,073",tt0113243,
410,"getaway, the",Thriller,3,0,2,0,1,,,,,,,,,,
411,dumb and dumber,Adventure,6,5,14,6,13,0.0,1994,PG-13,16 Dec 1994,107 min,41.0,7.3,"345,069",tt0109686,
412,zootopia,Animation,0,0,0,0,0,0.0,2016,PG,04 Mar 2016,108 min,78.0,8.0,"416,353",tt2948356,"$341,264,012"
413,cast away,Adventure,1,5,26,20,15,0.0,2000,PG-13,22 Dec 2000,143 min,73.0,7.8,"506,438",tt0162222,
414,croupier,Crime,0,2,0,18,10,0.0,1998,Not Rated,28 Jul 2000,94 min,75.0,7.1,"17,887",tt0159382,
415,deadpool,Adventure,7,2,1,35,22,0.0,2016,R,12 Feb 2016,108 min,65.0,8.0,"874,155",tt1431045,"$328,674,489"
416,capote,Crime,0,0,2,2,0,0.0,2005,R,03 Feb 2006,114 min,88.0,7.3,"122,713",tt0379725,"$28,337,516"
417,crime spree,Crime,9,1,1,30,15,0.0,2003,R,16 Apr 2003,105 min,,6.5,"5,197",tt0310924,
418,colombiana,Crime,6,8,0,13,8,0.0,2011,PG-13,26 Aug 2011,108 min,45.0,6.4,"91,834",tt1657507,"$36,665,854"
419,catch me if you can,Crime,0,2,11,7,9,0.0,2002,PG-13,25 Dec 2002,141 min,75.0,8.1,"790,873",tt0264464,"$164,400,000"
420,catwoman,Crime,0,0,0,0,0,0.0,2004,PG-13,23 Jul 2004,104 min,27.0,3.4,"108,332",tt0327554,"$40,200,000"
421,confessions of a dangerous mind,Crime,14,2,6,65,15,0.0,2002,R,24 Jan 2003,113 min,67.0,7.0,"81,717",tt0270288,
422,black rain,Crime,8,2,4,1,9,0.0,1989,R,22 Sep 1989,125 min,56.0,6.7,"47,914",tt0096933,
423,casino,Crime,18,9,16,439,56,0.0,1995,R,22 Nov 1995,178 min,73.0,8.2,"448,054",tt0112641,
424,confidence,Crime,15,4,2,52,29,0.0,2003,R,25 Apr 2003,97 min,59.0,6.7,"32,866",tt0310910,"$12,148,629"
425,blackkklansman,Crime,8,7,11,33,18,0.0,2018,R,10 Aug 2018,135 min,83.0,7.5,"198,998",tt7349662,
426,bottle rocket,Crime,3,2,5,36,25,0.0,1996,R,21 Feb 1996,91 min,66.0,7.0,"68,099",tt0115734,
427,burn after reading,Crime,9,4,3,66,20,0.0,2008,R,12 Sep 2008,96 min,63.0,7.0,"301,770",tt0887883,"$60,338,891"
428,"bling ring, the",Crime,1,5,0,28,8,,,,,,,,,,
429,blow,Crime,5,3,2,91,24,0.0,2001,R,06 Apr 2001,124 min,52.0,7.6,"235,080",tt0221027,
430,big eyes,Crime,2,2,1,1,3,0.0,2014,PG-13,25 Dec 2014,106 min,62.0,7.0,"82,916",tt1126590,"$8,021,168"
431,"big white, the",Crime,3,2,2,21,7,,,,,,,,,,
432,bad santa,Crime,24,8,3,137,44,0.0,2003,R,26 Nov 2003,92 min,70.0,7.0,"131,454",tt0307987,
433,"french connection, the",Thriller,13,7,2,3,12,,,,,,,,,,
434,frequency,Thriller,6,0,5,19,6,0.0,2000,PG-13,28 Apr 2000,118 min,67.0,7.3,"98,713",tt0186151,
435,frozen,Thriller,13,1,3,25,32,0.0,2013,PG,27 Nov 2013,102 min,75.0,7.4,"556,379",tt2294629,"$400,736,600"
436,fracture,Thriller,3,2,3,2,6,0.0,2007,R,20 Apr 2007,113 min,68.0,7.2,"181,277",tt0488120,"$39,000,000"
437,fargo,Thriller,1,1,13,41,4,0.0,1996,R,05 Apr 1996,98 min,85.0,8.1,"595,812",tt0116282,
