,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
871,escape from l.a.,Sci-Fi,5,0,6,4,15,0.0,1996,R,09 Aug 1996,101 min,54.0,5.8,"67,869",tt0116225,
872,escape from new york,Sci-Fi,10,2,2,3,14,0.0,1981,R,10 Jul 1981,99 min,76.0,7.2,"121,061",tt0082340,
873,eternal sunshine of the spotless mind,Sci-Fi,1,1,4,30,18,0.0,2004,R,19 Mar 2004,108 min,89.0,8.3,"880,215",tt0338013,"$34,126,138"
874,e.t.,Sci-Fi,0,0,0,0,1,,,,,,,,,,
875,dark star,Sci-Fi,0,0,3,3,1,0.0,1974,G,09 Feb 1979,83 min,66.0,6.3,"21,554",tt0069945,
876,fantastic four,Sci-Fi,1,0,8,0,1,0.0,2005,PG-13,08 Jul 2005,106 min,40.0,5.7,"306,728",tt0120667,"$154,485,963"
877,freaked,Sci-Fi,5,0,12,3,17,0.0,1993,PG-13,31 Mar 1994,80 min,,6.4,"6,150",tt0109838,
878,darkman,Sci-Fi,5,4,3,7,3,0.0,1990,R,24 Aug 1990,96 min,65.0,6.4,"56,589",tt0099365,
879,"day the earth stood still, the",Sci-Fi,0,0,0,0,0,,,,,,,,,,
880,"fifth element, the",Sci-Fi,1,1,3,8,8,,,,,,,,,,
881,dune,Sci-Fi,1,0,4,0,0,0.0,1984,PG-13,14 Dec 1984,137 min,40.0,6.5,"119,802",tt0087182,
882,cowboys & aliens,Sci-Fi,8,5,41,2,15,0.0,2011,PG-13,29 Jul 2011,119 min,50.0,6.0,"203,646",tt0409847,"$100,215,116"
883,chronicle,Sci-Fi,10,5,4,78,38,0.0,2012,PG-13,03 Feb 2012,84 min,69.0,7.0,"236,421",tt1706593,"$60,800,000"
884,existenz,Sci-Fi,1,0,2,7,2,0.0,1999,R,23 Apr 1999,97 min,68.0,6.8,"91,724",tt0120907,
885,brazil,Sci-Fi,1,1,5,3,7,0.0,1985,R,18 Dec 1985,132 min,84.0,7.9,"183,229",tt0088846,
886,battle: los angeles,Sci-Fi,13,0,18,2,21,,,,,,,,,,
887,blade runner,Sci-Fi,4,1,1,11,4,0.0,1982,R,25 Jun 1982,117 min,84.0,8.1,"671,833",tt0083658,
888,black panther,Sci-Fi,1,0,0,0,7,0.0,2018,PG-13,16 Feb 2018,134 min,88.0,7.3,"587,388",tt1825683,"$501,105,037"
889,"avengers, the (2012)",Sci-Fi,7,2,4,10,6,,,,,,,,,,
890,little nicky,Horror,13,1,7,0,11,0.0,2000,PG-13,10 Nov 2000,90 min,38.0,5.3,"95,788",tt0185431,"$38,542,597"
891,arcade,Sci-Fi,1,0,1,20,14,0.0,1993,R,30 Mar 1994,85 min,,4.7,"1,442",tt0106302,
892,leviathan,Horror,8,5,12,28,21,0.0,2014,R,05 Feb 2015,140 min,92.0,7.6,"47,377",tt2802154,"$754,393"
893,legion,Horror,4,6,12,50,11,0.0,2010,R,22 Jan 2010,100 min,32.0,5.2,"97,302",tt1038686,"$40,168,080"
894,avatar,Sci-Fi,10,8,14,1,14,0.0,2009,PG-13,18 Dec 2009,162 min,83.0,7.8,"1,095,138",tt0499549,"$749,700,000"
895,jurassic park iii,Horror,1,0,7,0,3,0.0,2001,PG-13,18 Jul 2001,92 min,42.0,5.9,"288,763",tt0163025,
896,jurassic park: the lost world,Horror,1,1,0,0,1,,,,,,,,,,
897,jennifer's body,Horror,9,3,2,18,13,0.0,2009,R,18 Sep 2009,102 min,47.0,5.2,"111,913",tt1131734,"$16,031,583"
898,lake placid,Horror,2,0,1,13,12,0.0,1999,R,16 Jul 1999,82 min,34.0,5.7,"53,156",tt0139414,
899,jaws 2,Horror,6,5,18,0,19,0.0,1978,PG,16 Jun 1978,116 min,51.0,5.8,"68,798",tt0077766,
900,jaws,Horror,4,5,9,0,1,0.0,1975,PG,20 Jun 1975,124 min,87.0,8.0,"531,727",tt0073195,
901,armageddon,Sci-Fi,15,4,12,4,14,0.0,1998,PG-13,01 Jul 1998,151 min,42.0,6.7,"387,888",tt0120591,
902,land of the dead,Horror,5,1,3,30,9,0.0,2005,R,24 Jun 2005,93 min,71.0,6.2,"90,019",tt0418819,"$20,433,940"
903,jurassic park,Horror,1,1,13,0,12,0.0,1993,PG-13,11 Jun 1993,127 min,68.0,8.1,"836,515",tt0107290,"$45,299,680"
904,insidious,Horror,2,3,1,6,4,0.0,2010,PG-13,01 Apr 2011,103 min,52.0,6.8,"269,122",tt1591095,"$53,700,000"
905,interview with the vampire,Horror,0,0,6,0,5,,,,,,,,,,
906,it,Horror,8,0,4,10,20,0.0,2017,R,08 Sep 2017,135 min,69.0,7.3,"436,909",tt1396484,"$326,898,358"
907,jason x,Horror,24,12,17,20,39,0.0,2001,R,26 Apr 2002,91 min,25.0,4.4,"48,982",tt0211443,"$12,610,731"
908,house of 1000 corpses,Horror,17,12,13,84,41,0.0,2003,R,11 Apr 2003,89 min,31.0,6.1,"74,271",tt0251736,"$12,583,510"
909,hollow man,Horror,3,0,25,16,19,0.0,2000,R,04 Aug 2000,112 min,24.0,5.8,"121,015",tt0164052,"$72,055,301"
910,"hills have eyes, the",Horror,1,3,1,7,3,,,,,,,,,,
911,i spit on your grave,Horror,19,10,11,29,32,0.0,2010,R,20 Jan 2011,108 min,27.0,6.3,"73,601",tt1242432,"$92,401"
912,hellraiser 3: hell on earth,Horror,5,5,3,20,19,,,,,,,,,,
913,heavy metal,Horror,3,4,4,2,4,0.0,1981,R,07 Aug 1981,86 min,51.0,6.7,"30,539",tt0082509,
914,hellboy,Horror,1,0,3,0,0,0.0,2004,PG-13,02 Apr 2004,122 min,72.0,6.8,"301,177",tt0167190,"$59,035,104"
915,hellraiser,Horror,2,2,10,11,8,0.0,1987,R,18 Sep 1987,94 min,57.0,7.0,"99,356",tt0093177,
916,hellraiser: hellseeker,Horror,7,2,0,15,6,0.0,2002,R,15 Oct 2002,89 min,46.0,5.0,"10,764",tt0274546,
917,hellbound: hellraiser ii,Horror,1,2,0,5,13,0.0,1988,R,23 Dec 1988,97 min,41.0,6.5,"40,301",tt0095294,
918,grabbers,Horror,1,1,0,9,9,0.0,2012,Not Rated,10 Aug 2012,94 min,62.0,6.3,"16,540",tt1525366,
919,gremlins 2,Horror,1,0,2,0,1,,,,,,,,,,
920,gremlins,Horror,3,1,6,1,1,0.0,1984,PG,08 Jun 1984,106 min,70.0,7.3,"190,722",tt0087363,
921,halloween: the curse of michael myers,Horror,6,0,9,6,6,0.0,1995,R,29 Sep 1995,87 min,10.0,4.9,"30,004",tt0113253,
922,ginger snaps,Horror,10,5,4,38,17,0.0,2000,Not Rated,11 May 2001,108 min,70.0,6.8,"40,534",tt0210070,
923,halloween,Horror,6,4,3,16,15,0.0,1978,R,27 Oct 1978,91 min,87.0,7.8,"220,388",tt0077651,
924,from dusk till dawn,Horror,15,8,8,118,45,0.0,1996,R,19 Jan 1996,108 min,48.0,7.2,"278,873",tt0116367,
925,heavenly creatures,Horror,0,0,5,0,0,0.0,1994,R,14 Oct 1994,99 min,,7.3,"57,795",tt0110005,
926,ghost ship,Horror,6,3,11,17,8,0.0,2002,R,25 Oct 2002,91 min,28.0,5.5,"91,186",tt0288477,"$30,100,000"
927,hannibal,Horror,0,1,0,2,0,0.0,2001,R,09 Feb 2001,131 min,57.0,6.8,"247,645",tt0212985,"$163,877,858"
928,amour,Romance,0,0,0,1,0,0.0,2012,PG-13,20 Sep 2012,127 min,94.0,7.9,"90,346",tt1602620,"$6,700,000"
929,fright night (1985),Horror,5,1,7,3,3,,,,,,,,,,
930,"american president, the",Romance,6,1,10,3,6,,,,,,,,,,
931,almost famous,Romance,3,0,3,21,2,0.0,2000,R,22 Sep 2000,122 min,90.0,7.9,"244,995",tt0181875,"$31,716,715"
932,10 things i hate about you,Romance,10,7,4,5,9,0.0,1999,PG-13,31 Mar 1999,97 min,70.0,7.3,"286,162",tt0147800,
933,17 again,Romance,0,1,1,0,1,0.0,2009,PG-13,17 Apr 2009,102 min,48.0,6.3,"175,034",tt0974661,"$64,087,443"
934,airplane,Romance,2,0,4,0,4,,,,,,,,,,
935,alien nation,Sci-Fi,8,5,12,2,20,0.0,1988,R,07 Oct 1988,91 min,45.0,6.3,"13,735",tt0094631,
936,500 days of summer,Romance,4,4,4,10,24,0.0,2009,PG-13,07 Aug 2009,95 min,76.0,7.7,"461,195",tt1022603,"$32,118,648"
937,"adjustment bureau, the",Sci-Fi,1,1,0,2,9,,,,,,,,,,
938,"abyss, the",Sci-Fi,5,9,18,0,15,,,,,,,,,,
939,"adventures of buckaroo banzai across the eighth dimension, the",Sci-Fi,3,0,21,0,7,,,,,,,,,,
940,airplane 2: the sequel,Sci-Fi,1,0,7,2,4,,,,,,,,,,
941,2001: a space odyssey,Sci-Fi,0,0,3,0,0,0.0,1968,G,12 May 1968,149 min,84.0,8.3,"581,882",tt0062622,"$135,620"
942,quantum project,Short,0,1,0,0,0,0.0,2000,,05 May 2000,40 min,,5.9,39,tt0239860,
943,12 monkeys,Sci-Fi,6,3,4,8,5,0.0,1995,R,05 Jan 1996,129 min,74.0,8.0,"565,400",tt0114746,
944,"things my father never taught me, the",Short,0,1,1,0,0,,,,,,,,,,
945,2012,Sci-Fi,4,0,5,1,8,0.0,2009.0,PG-13,13 Nov 2009,158 min,49.0,5.8,"345,022",tt1190080,"$166,112,167"
946,9,Sci-Fi,0,0,0,0,0,0.0,2009,PG-13,09 Sep 2009,79 min,60.0,7.1,"130,452",tt0472033,"$31,691,649"
947,my mother dreams the satan's disciples in new york,Short,1,0,1,3,2,0.0,1998,,01 Oct 1998,30 min,,7.2,108,tt0177023,
948,wild things: diamonds in the rough,Mystery,5,10,10,16,14,0.0,2005,R,19 Feb 2005,87 min,,4.5,"4,528",tt0448179,
949,whiteout,Mystery,4,4,7,3,7,0.0,2009,R,11 Sep 2009,101 min,,5.5,"36,710",tt0365929,"$10,300,000"
950,what lies beneath,Mystery,3,3,1,4,3,0.0,2000,PG-13,21 Jul 2000,130 min,51.0,6.6,"115,116",tt0161081,"$155,018,556"
951,"village, the",Mystery,0,0,0,0,0,,,,,,,,,,
952,"white ribbon, the",Mystery,0,0,2,0,0,,,,,,,,,,
953,white jazz,Mystery,13,3,6,39,17,,,,,,,,,,
954,vanilla sky,Mystery,2,2,0,33,7,0.0,2001,R,14 Dec 2001,136 min,45.0,6.9,"242,934",tt0259711,
955,"usual suspects, the",Mystery,11,3,4,36,22,,,,,,,,,,
956,unknown,Mystery,0,2,3,2,2,0.0,2011,PG-13,18 Feb 2011,113 min,56.0,6.8,"243,834",tt1401152,"$63,677,735"
957,twin peaks,Mystery,1,0,6,3,5,0.0,1990–1991,TV-MA,08 Apr 1990,47 min,,8.8,"167,193",tt0098936,
958,thunderheart,Mystery,11,2,11,37,26,0.0,1992,R,03 Apr 1992,119 min,,6.8,"13,569",tt0105585,
959,tinker tailor soldier spy,Mystery,0,0,10,9,0,0.0,2011,R,06 Jan 2012,122 min,85.0,7.1,"182,286",tt1340800,"$20,200,000"
960,"talented mr. ripley, the",Mystery,2,0,1,4,1,,,,,,,,,,
961,super 8,Mystery,5,2,5,8,17,0.0,2011,PG-13,10 Jun 2011,112 min,72.0,7.0,"332,405",tt1650062,"$126,975,169"
962,strange days,Mystery,10,6,17,47,30,0.0,1995,R,13 Oct 1995,145 min,66.0,7.2,"65,550",tt0114558,
963,source code,Mystery,3,1,5,10,6,0.0,2011,PG-13,01 Apr 2011,93 min,74.0,7.5,"473,918",tt0945513,"$54,696,902"
964,stir of echoes,Mystery,8,3,3,22,13,0.0,1999,R,10 Sep 1999,99 min,67.0,7.0,"72,713",tt0164181,
965,six degrees of separation,Mystery,1,1,2,13,3,0.0,1993,R,08 Dec 1993,112 min,72.0,6.8,"19,325",tt0108149,
966,"sixth sense, the",Mystery,0,0,0,0,0,,,,,,,,,,
967,sleepy hollow,Mystery,1,2,10,0,0,0.0,1999,R,19 Nov 1999,105 min,65.0,7.3,"320,922",tt0162661,
968,sherlock holmes,Mystery,0,0,0,1,2,0.0,2009,PG-13,25 Dec 2009,128 min,57.0,7.6,"570,347",tt0988045,"$208,711,166"
969,se7en,Mystery,1,3,6,49,7,0.0,1995,R,22 Sep 1995,127 min,65.0,8.6,"1,386,280",tt0114369,
970,scream 3,Mystery,6,2,10,34,29,0.0,2000,R,04 Feb 2000,116 min,56.0,5.6,"120,066",tt0134084,
971,scream,Mystery,6,4,5,23,23,0.0,1996,R,20 Dec 1996,111 min,65.0,7.2,"276,236",tt0117571,
972,scream 2,Mystery,6,5,1,7,23,0.0,1997,R,12 Dec 1997,120 min,63.0,6.2,"152,234",tt0120082,
973,s. darko,Mystery,7,3,3,37,17,0.0,2009,R,21 Aug 2009,103 min,,3.6,"13,023",tt1231277,
974,red riding hood,Mystery,2,0,1,0,0,0.0,2011,PG-13,11 Mar 2011,100 min,29.0,5.5,"105,800",tt1486185,"$37,200,000"
975,ringu,Mystery,0,0,0,0,0,0.0,1998,Not Rated,31 Jan 1998,96 min,,7.2,"61,624",tt0178868,
976,saw,Mystery,2,2,2,32,16,0.0,2004,R,29 Oct 2004,103 min,46.0,7.6,"369,218",tt0387564,"$55,100,000"
977,"private life of sherlock holmes, the",Mystery,0,0,3,0,0,,,,,,,,,,
978,prom night,Mystery,2,1,5,0,2,0.0,2008,PG-13,11 Apr 2008,88 min,17.0,3.9,"33,088",tt0926129,"$43,818,159"
979,"prestige, the",Mystery,0,0,2,0,1,,,,,,,,,,
980,prometheus,Mystery,0,1,4,4,2,0.0,2012,R,08 Jun 2012,124 min,64.0,7.0,"557,392",tt1446714,"$126,464,904"
981,three kings (spoils of war),War,9,6,9,2,4,,,,,,,,,,
982,valkyrie,War,0,1,5,5,4,0.0,2008,PG-13,25 Dec 2008,121 min,56.0,7.1,"223,731",tt0985699,"$82,989,109"
983,rear window,Mystery,0,0,0,0,0,0.0,1954,PG,01 Sep 1954,112 min,100.0,8.4,"428,644",tt0047396,
984,"prophecy, the",Mystery,2,8,11,13,9,,,,,,,,,,
985,tropic thunder,War,15,5,2,25,23,0.0,2008,R,13 Aug 2008,107 min,71.0,7.0,"369,925",tt0942385,"$110,416,702"
986,schindler's list,War,0,0,2,5,0,0.0,1993,R,04 Feb 1994,195 min,94.0,8.9,"1,171,229",tt0108052,
987,three kings,War,14,1,10,43,28,0.0,1999,R,01 Oct 1999,114 min,82.0,7.1,"157,590",tt0120188,
988,saving private ryan,War,6,5,37,20,10,0.0,1998,R,24 Jul 1998,169 min,91.0,8.6,"1,193,695",tt0120815,
989,pearl harbor,War,4,8,2,8,26,0.0,2001,PG-13,25 May 2001,183 min,44.0,6.2,"305,436",tt0213149,"$197,761,540"
990,"patriot, the",War,1,0,13,0,0,,,,,,,,,,
991,platoon,War,39,10,11,113,100,0.0,1986,R,06 Feb 1987,120 min,92.0,8.1,"370,072",tt0091763,
992,"pianist, the",War,0,1,2,5,3,,,,,,,,,,
993,"men who stare at goats, the",War,1,0,4,20,13,,,,,,,,,,
994,"last samurai, the",War,2,1,4,2,3,,,,,,,,,,
995,jeux interdits,War,0,0,0,0,0,,,,,,,,,,
996,"last of the mohicans, the",War,0,0,2,0,0,,,,,,,,,,
997,inglourious basterds,War,9,4,18,39,6,0.0,2009,R,21 Aug 2009,153 min,69.0,8.3,"1,217,923",tt0361748,"$120,523,073"
998,coriolanus,War,0,0,0,0,0,0.0,2011,R,20 Jan 2012,123 min,79.0,6.1,"30,473",tt1372686,"$487,578"
999,defiance,War,3,3,0,7,16,0.0,2008,R,16 Jan 2009,137 min,58.0,7.2,"134,977",tt1034303,"$28,622,873"
1000,from here to eternity,War,0,0,0,0,0,0.0,1953,Passed,28 Aug 1953,118 min,85.0,7.6,"41,623",tt0045793,
1001,cold mountain,War,5,1,8,3,7,0.0,2003,R,25 Dec 2003,154 min,73.0,7.2,"137,116",tt0159365,
1002,hotel rwanda,War,3,0,0,8,3,0.0,2004,PG-13,04 Feb 2005,121 min,79.0,8.1,"326,991",tt0395169,"$23,472,900"
1003,"deer hunter, the",War,10,3,22,68,19,,,,,,,,,,
1004,four feathers,War,0,0,0,0,0,,,,,,,,,,
1005,barry lyndon,War,0,0,0,0,0,,,,,,,,,,
1006,"battle of algiers, the",War,0,1,0,0,1,,,,,,,,,,
1007,fright night,Horror,2,2,2,17,21,,,,,,,,,,
1008,apocalypse now,War,4,10,25,24,16,,,,,,,,,,
1009,braveheart,War,4,1,3,0,0,,,,,,,,,,
1010,final destination 2,Horror,5,3,14,26,19,,,,,,,,,,
1011,beasts of no nation,War,1,0,0,2,0,,,,,,,,,,
1012,evil dead ii: dead by dawn,Horror,0,3,2,0,1,,,,,,,,,,
1013,feast,Horror,10,4,15,27,23,,,,,,,,,,
1014,final destination,Horror,2,0,0,34,8,,,,,,,,,,
1015,evil dead,Horror,0,0,3,0,2,,,,,,,,,,
1016,freddy vs. jason,Horror,7,32,10,6,7,,,,,,,,,,
1017,frankenstein,Horror,2,0,6,0,1,,,,,,,,,,
1018,friday the 13th part viii: jason takes manhattan,Horror,2,2,3,6,6,,,,,,,,,,
1019,event horizon,Horror,3,1,4,13,13,,,,,,,,,,
1020,"crow salvation, the",Horror,4,3,7,33,14,,,,,,,,,,
1021,"crow, the",Horror,14,4,7,28,20,,,,,,,,,,
1022,devil's advocate,Horror,10,3,9,47,16,,,,,,,,,,
1023,eight legged freaks,Horror,0,1,5,1,3,,,,,,,,,,
1024,deep rising,Horror,10,4,11,4,25,,,,,,,,,,
1025,day of the dead,Horror,12,1,8,2,14,,,,,,,,,,
1026,constantine,Horror,6,2,10,2,19,,,,,,,,,,
1027,dawn of the dead,Horror,0,0,0,0,0,,,,,,,,,,
1028,carrie,Horror,2,1,8,4,14,,,,,,,,,,
1029,"cell, the",Horror,2,3,6,8,3,,,,,,,,,,
1030,bones,Horror,8,7,20,30,30,,,,,,,,,,
1031,buffy the vampire slayer,Horror,2,7,1,2,4,,,,,,,,,,
1032,chasing sleep,Horror,2,5,8,10,6,,,,,,,,,,
1033,blade: trinity,Horror,11,1,7,20,7,,,,,,,,,,
1034,"birds, the",Horror,0,0,4,0,0,,,,,,,,,,
1035,drag me to hell,Horror,1,3,4,3,0,,,,,,,,,,
1036,american werewolf in london,Horror,4,0,1,9,7,,,,,,,,,,
1037,american psycho,Horror,7,11,3,37,5,,,,,,,,,,
1038,"amityville asylum, the",Horror,0,5,5,37,11,,,,,,,,,,
1039,bad dreams,Horror,3,0,11,16,20,,,,,,,,,,
1040,blade,Horror,3,0,5,10,4,,,,,,,,,,
1041,army of darkness,Horror,2,1,6,0,2,,,,,,,,,,
1042,blade ii,Horror,5,4,2,39,16,,,,,,,,,,
1043,"nines, the",Mystery,7,0,1,12,12,,,,,,,,,,
1044,alone in the dark,Horror,3,0,5,1,1,,,,,,,,,,
1045,"ninth gate, the",Mystery,0,0,0,0,0,,,,,,,,,,
1046,mission impossible ii,Mystery,2,3,10,0,2,,,,,,,,,,
1047,orphan,Mystery,1,3,3,8,8,,,,,,,,,,
1048,moon,Mystery,3,1,1,18,8,,,,,,,,,,
1049,mulholland drive,Mystery,1,1,4,0,1,,,,,,,,,,
1050,minority report,Mystery,0,0,0,0,0,,,,,,,,,,
1051,mirrors,Mystery,1,0,6,6,4,,,,,,,,,,
1052,nightmare on elm street: the final chapter,Mystery,3,3,2,10,17,,,,,,,,,,
1053,memento,Mystery,0,0,0,12,5,,,,,,,,,,
1054,limitless,Mystery,5,1,1,38,17,,,,,,,,,,
1055,"nightmare on elm street, a",Mystery,4,0,8,11,8,,,,,,,,,,
1056,lost highway,Mystery,2,2,3,13,6,,,,,,,,,,
1057,"losers, the",Mystery,5,0,7,4,27,,,,,,,,,,
1058,lost horizon,Mystery,0,0,0,0,0,,,,,,,,,,
1059,"manchurian candidate, the",Mystery,5,0,3,8,14,,,,,,,,,,
1060,jfk,Mystery,6,16,28,50,17,,,,,,,,,,
1061,klute,Mystery,0,3,3,0,0,,,,,,,,,,
1062,king kong,Mystery,0,0,3,0,0,,,,,,,,,,
1063,l.a. confidential,Mystery,4,0,6,38,13,,,,,,,,,,
1064,meet joe black,Mystery,4,2,8,4,7,,,,,,,,,,
1065,lone star,Mystery,4,4,15,6,6,,,,,,,,,,
1066,manhattan murder mystery,Mystery,0,0,2,0,1,,,,,,,,,,
1067,hellraiser: deader,Mystery,1,0,4,8,4,,,,,,,,,,
1068,jennifer eight,Mystery,9,6,8,70,34,,,,,,,,,,
1069,hanna,Mystery,0,1,0,8,7,,,,,,,,,,
1070,"hangover, the",Mystery,11,2,9,3,8,,,,,,,,,,
1071,"imaginarium of doctor parnassus, the",Mystery,0,3,2,1,1,,,,,,,,,,
1072,"grudge, the",Mystery,0,0,1,0,0,,,,,,,,,,
1073,"haunting, the",Mystery,0,2,3,3,3,,,,,,,,,,
1074,"fugitive, the",Mystery,2,2,4,1,7,,,,,,,,,,
1075,get low,Mystery,4,7,14,1,3,,,,,,,,,,
1076,inception,Mystery,2,0,3,0,1,,,,,,,,,,
1077,"game, the",Mystery,6,4,8,45,30,,,,,,,,,,
1078,"girl with the dragon tattoo, the",Mystery,0,0,0,4,0,,,,,,,,,,
1079,gone baby gone,Mystery,6,7,2,84,26,,,,,,,,,,
1080,"godfather part iii, the",Mystery,2,2,0,2,5,,,,,,,,,,
1081,ex machina,Mystery,0,0,2,29,6,,,,,,,,,,
1082,friday the 13th,Mystery,1,0,4,2,4,,,,,,,,,,
1083,gothika,Mystery,1,2,11,15,6,,,,,,,,,,
1084,eagle eye,Mystery,6,3,5,21,35,,,,,,,,,,
1085,eastern promises,Mystery,0,6,1,37,1,,,,,,,,,,
1086,i still know what you did last summer,Mystery,0,0,6,0,0,,,,,,,,,,
1087,get out,Mystery,4,2,9,31,33,,,,,,,,,,
1088,alien: resurrection,Horror,7,6,8,88,13,,,,,,,,,,
1089,alien vs. predator,Horror,3,3,6,15,16,,,,,,,,,,
1090,28 days later,Horror,0,0,0,48,12,,,,,,,,,,
1091,"addams family, the",Horror,0,0,3,0,0,,,,,,,,,,
1092,devil in a blue dress,Mystery,8,6,24,5,11,,,,,,,,,,
1093,after.life,Horror,0,1,0,19,6,,,,,,,,,,
1094,a quiet place,Horror,0,0,0,0,0,,,,,,,,,,
1095,alien,Horror,0,0,11,1,5,,,,,,,,,,
1096,dark city,Mystery,0,0,6,1,5,,,,,,,,,,
1097,color of night,Mystery,7,7,13,55,19,,,,,,,,,,
1098,deception,Mystery,1,0,7,6,4,,,,,,,,,,
1099,copycat,Mystery,8,11,18,13,10,,,,,,,,,,
1100,alien 3,Horror,1,0,3,6,7,,,,,,,,,,
1101,case 39,Mystery,0,0,3,1,5,,,,,,,,,,
1102,charade,Mystery,0,0,1,0,0,,,,,,,,,,
1103,cellular,Mystery,20,7,28,2,29,,,,,,,,,,
1104,cherry falls,Mystery,2,0,4,33,8,,,,,,,,,,
1105,changeling,Mystery,1,1,6,4,4,,,,,,,,,,
1106,buried,Mystery,1,2,2,10,9,,,,,,,,,,
1107,chinatown,Mystery,4,8,2,1,6,,,,,,,,,,
1108,cube,Mystery,0,0,0,0,0,,,,,,,,,,
1109,"curious case of benjamin button, the",Mystery,4,0,5,2,6,,,,,,,,,,
1110,citizen kane,Mystery,0,0,0,0,0,,,,,,,,,,
1111,"box, the",Mystery,2,0,3,0,1,,,,,,,,,,
1112,brick,Mystery,0,0,2,0,0,,,,,,,,,,
1113,"bourne ultimatum, the",Mystery,0,0,2,1,5,,,,,,,,,,
1114,"bourne supremacy, the",Mystery,0,0,0,0,0,,,,,,,,,,
1115,"bourne identity, the",Mystery,1,1,0,28,21,,,,,,,,,,
1116,blue velvet,Mystery,1,3,3,39,11,,,,,,,,,,
1117,black swan,Mystery,2,0,1,19,1,,,,,,,,,,
1118,"black dahlia, the",Mystery,1,4,14,42,16,,,,,,,,,,
1119,"big lebowski, the",Mystery,9,4,10,220,39,,,,,,,,,,
1120,basic instinct,Mystery,3,5,13,31,4,,,,,,,,,,
1121,backdraft,Mystery,13,13,34,32,28,,,,,,,,,,
1122,angels & demons,Mystery,1,0,5,0,1,,,,,,,,,,
1123,april fool's day,Mystery,5,1,3,16,14,,,,,,,,,,
1124,white christmas,Musical,0,0,0,0,0,,,,,,,,,,
1125,basic,Mystery,6,3,4,58,15,,,,,,,,,,
1126,"avventura, l' (the adventure)",Mystery,0,0,1,0,0,,,,,,,,,,
1127,"wizard of oz, the",Musical,0,0,0,0,0,,,,,,,,,,
1128,agnes of god,Mystery,0,1,1,0,2,,,,,,,,,,
1129,a few good men,Mystery,5,1,10,13,14,,,,,,,,,,
1130,8mm,Mystery,2,1,1,52,8,,,,,,,,,,
1131,sweeney todd: the demon barber of fleet street,Musical,0,1,1,0,2,,,,,,,,,,
1132,south park,Musical,25,19,12,72,20,,,,,,,,,,
1133,"rocky horror picture show, the",Musical,0,0,0,1,0,,,,,,,,,,
1134,sister act,Musical,4,3,6,1,0,,,,,,,,,,
1135,"producer, the",Musical,0,0,1,0,0,,,,,,,,,,
1136,nine,Musical,2,0,0,0,0,,,,,,,,,,
1137,"nightmare before christmas, the",Musical,0,0,0,0,0,,,,,,,,,,
1138,mary poppins,Musical,0,0,0,0,0,,,,,,,,,,
1139,nashville,Musical,1,0,3,0,0,,,,,,,,,,
1140,mulan,Musical,0,0,0,0,0,,,,,,,,,,
1141,newsies,Musical,0,0,2,0,0,,,,,,,,,,
1142,les miserables,Musical,0,1,4,0,1,,,,,,,,,,
1143,duck soup,Musical,0,0,0,0,0,,,,,,,,,,
1144,detroit rock city,Musical,30,7,6,41,30,,,,,,,,,,
1145,la la land,Musical,2,0,3,3,5,,,,,,,,,,
1146,"little mermaid, the",Musical,0,0,0,0,0,,,,,,,,,,
1147,burlesque,Musical,20,9,24,0,20,,,,,,,,,,
1148,labyrinth,Musical,0,0,6,0,0,,,,,,,,,,
1149,aladdin,Musical,0,0,0,0,0,,,,,,,,,,
1150,honeydripper,Musical,6,0,14,0,1,,,,,,,,,,
1151,"mariachi, el",Western,1,0,1,0,0,,,,,,,,,,
1152,el mariachi,Western,0,0,0,0,0,,,,,,,,,,
1153,anastasia,Musical,0,0,0,0,0,,,,,,,,,,
1154,beauty and the beast,Musical,0,0,1,0,0,,,,,,,,,,
1155,roughshod,Western,0,0,0,0,0,,,,,,,,,,
1156,django unchained,Western,52,16,43,41,15,,,,,,,,,,
1157,"book of eli, the",Western,4,4,6,15,12,,,,,,,,,,
1158,bad day at black rock,Western,0,0,0,0,0,,,,,,,,,,
1159,dances with wolves,Western,3,2,5,0,0,,,,,,,,,,
1160,american outlaws,Western,1,3,9,0,2,,,,,,,,,,
1161,jimmy and judy,Action,15,9,7,108,35,,,,,,,,,,
1162,american shaolin: king of kickboxers ii,Action,2,0,3,0,0,,,,,,,,,,
1163,"rock, the",Action,1,2,12,40,19,,,,,,,,,,
1164,above the law,Action,16,2,5,29,10,,,,,,,,,,
