Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Crank,Thriller,2006,R,9/1/2006,88,57,6.9,230012,tt0479884,27800000,24,14,5,36,41
Crash,Romance,2004,R,5/6/2005,112,66,7.8,413193,tt0375679,55382847,0,1,0,2,0
Crazylove,Romance,2005,N/A,N/A,95,,6.3,361,tt0416658,,1,2,3,10,1
Creation,Drama,2009,PG-13,9/25/2009,108,51,6.7,13626,tt0974014,300000,0,0,3,0,3
Crime Spree,Crime,2003,R,4/16/2003,105,,6.5,5197,tt0310924,,9,1,1,30,15
Croupier,Crime,1998,Not Rated,7/28/2000,94,75,7.1,17887,tt0159382,,0,2,0,18,10
Cruel Intentions,Romance,1999,R,3/5/1999,97,56,6.8,175410,tt0139134,,10,5,0,31,23
Custody,Comedy,2017,N/A,2/7/2018,93,83,7.5,7590,tt6002232,,3,2,0,3,3
Dallas Buyers Club,Drama,2013,R,11/22/2013,117,80,8,426639,tt0790636,23750994,12,4,9,58,37
Dark Star,Sci-Fi,1974,G,2/9/1979,83,66,6.3,21554,tt0069945,,0,0,3,3,1
Darkman,Sci-Fi,1990,R,8/24/1990,96,65,6.4,56589,tt0099365,,5,4,3,7,3
Date Night,Romance,2010,PG-13,4/9/2010,88,56,6.3,149520,tt1279935,98710290,3,3,3,3,9
Days of Heaven,Drama,1978,PG,10/6/1978,94,93,7.8,50241,tt0077405,,0,0,0,0,0
Dead Poets Society,Drama,1989,PG,6/9/1989,128,79,8.1,407143,tt0097165,,1,0,6,0,3
Deadpool,Adventure,2016,R,2/12/2016,108,65,8,874155,tt1431045,328674489,7,2,1,35,22
Dear White People,Drama,2014,R,12/4/2014,108,79,6.1,23926,tt2235108,,9,11,9,37,19
Death at a Funeral,Comedy,2007,R,9/7/2007,90,67,7.4,106835,tt0795368,,5,0,19,3,22
Death to Smoochy,Crime,2002,R,3/29/2002,109,38,6.4,38056,tt0266452,8308230,16,7,5,39,12
Deep Cover,Thriller,1992,R,4/15/1992,107,,6.9,8392,tt0104073,,10,7,4,53,26
Defiance,War,2008,R,1/16/2009,137,58,7.2,134977,tt1034303,28622873,3,3,0,7,16
Despicable Me 2,Animation,2013,PG,7/3/2013,98,62,7.3,360967,tt1690953,368049635,0,0,0,0,0
Die Hard,Thriller,1988,R,7/20/1988,132,72,8.2,763300,tt0095016,,16,3,18,27,19
Die Hard 2,Thriller,1990,R,7/3/1990,124,67,7.2,327312,tt0099423,,22,4,24,44,17
Diner,Comedy,1982,R,5/21/1982,110,82,7.1,18111,tt0083833,,4,3,1,4,5
Disturbia,Thriller,2007,PG-13,4/13/2007,105,62,6.8,215909,tt0486822,80050171,12,2,6,2,28
Do the Right Thing,Comedy,1989,R,7/21/1989,120,93,7.9,83609,tt0097216,,11,2,6,62,25
Dog Day Afternoon,Thriller,1975,R,12/25/1975,125,86,8,229397,tt0072890,,4,4,14,42,26
Dogma,Fantasy,1999,R,11/12/1999,130,62,7.3,204707,tt0120655,,20,15,6,66,57
Donnie Brasco,Thriller,1997,R,2/28/1997,127,76,7.7,268559,tt0119008,,9,2,2,210,13
Double Indemnity,Film-Noir,1944,Passed,7/6/1944,107,95,8.3,137436,tt0036775,,0,0,0,0,0
Dragonslayer,Fantasy,1981,PG,6/26/1981,109,68,6.7,14523,tt0082288,,0,0,4,0,0
Drive,Crime,2011,R,9/16/2011,100,78,7.8,552974,tt0780504,34300000,4,0,1,43,3
Drive Angry,Fantasy,2011,R,2/25/2011,104,44,5.4,92929,tt1502404,10706786,8,14,10,73,17
Drop Dead Gorgeous,Comedy,1999,PG-13,7/23/1999,97,28,6.6,31682,tt0157503,,19,10,18,9,10
Dumb and Dumber,Adventure,1994,PG-13,12/16/1994,107,41,7.3,345069,tt0109686,,6,5,14,6,13
Dune,Sci-Fi,1984,PG-13,12/14/1984,137,40,6.5,119802,tt0087182,,1,0,4,0,0
Easy A,Romance,2010,PG-13,9/17/2010,92,72,7,348160,tt1282140,58401464,10,5,1,41,11
Ed Wood,Comedy,1994,R,10/7/1994,127,70,7.8,162206,tt0109707,,5,3,9,11,9
Edward Scissorhands,Romance,1990,PG-13,12/14/1990,105,74,7.9,434782,tt0099487,,0,0,4,0,1
Election,Comedy,1999,R,5/7/1999,103,83,7.2,87166,tt0126886,,2,3,1,10,2
Elizabeth: The Golden Age,Drama,2007,PG-13,10/12/2007,114,45,6.8,64844,tt0414055,16264475,0,1,0,0,0
Enemy of the State,Thriller,1998,R,11/20/1998,132,67,7.3,222054,tt0120660,,5,0,4,32,11
Enough,Thriller,2002,PG-13,5/24/2002,115,25,5.8,38277,tt0278435,39177215,5,2,1,3,4
Entrapment,Thriller,1999,PG-13,4/30/1999,113,54,6.3,104322,tt0137494,,7,2,0,13,12
Erik the Viking,Fantasy,1989,PG-13,9/22/1989,107,,6.3,12609,tt0097289,,0,0,0,0,0
Erin Brockovich,Comedy,2000,R,3/17/2000,131,73,7.3,169051,tt0195685,,12,5,31,33,35
Escape from L.A.,Sci-Fi,1996,R,8/9/1996,101,54,5.8,67869,tt0116225,,5,0,6,4,15
Escape from New York,Sci-Fi,1981,R,7/10/1981,99,76,7.2,121061,tt0082340,,10,2,2,3,14
Eternal Sunshine of the Spotless Mind,Sci-Fi,2004,R,3/19/2004,108,89,8.3,880215,tt0338013,34126138,1,1,4,30,18
Even Cowgirls Get the Blues,Romance,1993,R,5/20/1994,95,28,4.4,6950,tt0106834,,2,3,1,3,8
Excalibur,Fantasy,1981,PG,4/10/1981,140,56,7.4,55818,tt0082348,,0,0,0,0,0
eXistenZ,Sci-Fi,1999,R,4/23/1999,97,68,6.8,91724,tt0120907,,1,0,2,7,2
Extract,Romance,2009,R,9/4/2009,92,61,6.1,43911,tt1225822,10642511,18,0,12,2,31
Face Off,Thriller,2011,TV-PG,1/26/2011,44,,8.2,5969,tt1663641,,4,2,7,15,8
Fair Game,Thriller,2010,PG-13,12/3/2010,108,69,6.8,45694,tt0977855,9528092,2,1,0,22,6
Fantastic Four,Sci-Fi,2005,PG-13,7/8/2005,106,40,5.7,306728,tt0120667,154485963,1,0,8,0,1
Fargo,Thriller,1996,R,4/5/1996,98,85,8.1,595812,tt0116282,,1,1,13,41,4
Fast Times at Ridgemont High,Comedy,1982,R,8/13/1982,90,61,7.2,89930,tt0083929,,2,4,0,19,10
Fatal Instinct,Thriller,1993,PG-13,10/29/1993,91,,5.8,6623,tt0106873,,1,2,7,0,3
Fear and Loathing in Las Vegas,Comedy,1998,R,5/22/1998,118,41,7.6,252866,tt0120669,,4,7,48,44,33
Ferris Bueller's Day Off,Comedy,1986,PG-13,6/11/1986,103,61,7.8,309550,tt0091042,,19,1,4,0,29
Field of Dreams,Family,1989,PG,5/5/1989,107,57,7.5,105057,tt0097351,,5,2,8,6,6
Fight Club,Thriller,1999,R,10/15/1999,139,66,8.8,1790247,tt0137523,,7,5,3,37,12
Finding Nemo,Family,2003,G,5/30/2003,100,90,8.1,920858,tt0266543,380529370,0,0,0,0,0
Five Easy Pieces,Drama,1970,R,9/12/1970,98,85,7.5,32018,tt0065724,,6,3,10,1,13
Flash Gordon,Fantasy,1980,PG,12/5/1980,111,58,6.5,49048,tt0080745,,0,1,5,0,0
Fletch,Comedy,1985,PG,5/31/1985,98,68,6.9,46314,tt0089155,,0,0,0,0,0
Flight,Drama,2012,R,11/2/2012,138,76,7.3,317748,tt1907668,89400000,10,4,6,61,27
Forrest Gump,Comedy,1994,PG-13,7/6/1994,142,82,8.8,1737186,tt0109830,330000000,8,7,17,5,11
Four Rooms,Comedy,1995,R,12/25/1995,98,,6.8,95749,tt0113101,,10,4,4,85,14
Foxcatcher,Drama,2014,R,1/16/2015,134,81,7,131194,tt1100089,9744477,1,1,0,7,4
Fracture,Thriller,2007,R,4/20/2007,113,68,7.2,181277,tt0488120,39000000,3,2,3,2,6
Frances,Drama,1982,R,3/11/1983,140,48,7.4,6605,tt0083967,,2,5,15,8,4
Frankenweenie,Family,2012,PG,10/5/2012,87,74,6.9,94595,tt1142977,35287788,0,0,0,0,0
Freaked,Sci-Fi,1993,PG-13,3/31/1994,80,,6.4,6150,tt0109838,,5,0,12,3,17
Frequency,Thriller,2000,PG-13,4/28/2000,118,67,7.3,98713,tt0186151,,6,0,5,19,6
From Dusk Till Dawn,Horror,1996,R,1/19/1996,108,48,7.2,278873,tt0116367,,15,8,8,118,45
From Here to Eternity,War,1953,Passed,8/28/1953,118,85,7.6,41623,tt0045793,,0,0,0,0,0
Frozen,Thriller,2013,PG,11/27/2013,102,75,7.4,556379,tt2294629,400736600,13,1,3,25,32
Frozen River,Crime,2008,R,9/5/2008,97,82,7.1,24235,tt0978759,2061019,3,4,2,5,8
Fruitvale Station,Drama,2013,R,7/26/2013,85,85,7.5,72709,tt2334649,11010136,15,11,1,58,40
Funny People,Comedy,2009,R,7/31/2009,146,60,6.3,112695,tt1201167,51814190,9,4,1,101,54
Game 6,Comedy,2005,R,1/1/2005,87,56,5.8,2422,tt0425055,,0,1,0,0,2
Gamer,Sci-Fi,2009,R,9/4/2009,95,27,5.8,128252,tt1034032,20488579,12,6,12,33,36
Gandhi,Drama,1982,PG,2/25/1983,191,79,8,214287,tt0083987,,0,0,7,0,0
Gang Related,Crime,1997,R,10/8/1997,111,,6.5,7732,tt0118900,,16,4,25,103,47
Gangs of New York,Crime,2002,R,12/20/2002,167,72,7.5,393904,tt0217505,77605296,0,2,21,0,1
Garden State,Romance,2004,R,8/20/2004,102,67,7.4,204465,tt0333766,26706668,7,7,1,70,30
Gattaca,Sci-Fi,1997,PG-13,10/24/1997,106,64,7.8,274114,tt0119177,,0,1,6,2,1
Get Carter,Thriller,2000,R,10/6/2000,102,24,5.2,31985,tt0208988,14551088,0,4,0,2,5
Get on Up,Drama,2014,PG-13,8/1/2014,139,71,6.9,20086,tt2473602,22838662,6,1,4,9,20
Get Shorty,Crime,1995,R,10/20/1995,105,82,6.9,74125,tt0113161,,0,0,0,0,0
Ghost,Romance,1990,PG-13,7/13/1990,127,52,7,190146,tt0099653,,3,2,14,5,5
Ghost Rider,Fantasy,2007,PG-13,2/16/2007,110,35,5.2,218752,tt0259324,115802596,10,2,5,47,9
Ghost Ship,Horror,2002,R,10/25/2002,91,28,5.5,91186,tt0288477,30100000,6,3,11,17,8
Ghost World,Comedy,2001,R,9/21/2001,111,88,7.3,110999,tt0162346,4694484,9,7,1,28,6
Ghostbusters,Sci-Fi,1984,PG,6/8/1984,105,71,7.8,344050,tt0087332,,0,0,0,0,0
G.I. Jane,Drama,1997,R,8/22/1997,125,62,5.9,71574,tt0119173,,11,3,11,14,17
G.I. Joe: The Rise of Cobra,Sci-Fi,2009,PG-13,8/7/2009,118,32,5.8,196262,tt1046173,150167630,11,2,5,0,4
Ginger Snaps,Horror,2000,Not Rated,5/11/2001,108,70,6.8,40534,tt0210070,,10,5,4,38,17
Gladiator,Drama,2000,R,5/5/2000,155,67,8.5,1295815,tt0172495,,1,0,7,0,1
Go,Crime,1999,R,4/9/1999,102,72,7.2,65835,tt0139239,,14,6,2,61,34
Godfather,Crime,1991,Not Rated,11/15/1991,150,,8.6,2644,tt0353496,,1,6,4,0,0
Gods and Monsters,Drama,1998,R,11/4/1998,105,74,7.4,28694,tt0120684,,4,2,7,11,5
Godzilla,Sci-Fi,2014,PG-13,5/16/2014,123,62,6.4,368029,tt0831387,172962996,0,1,11,0,2
Gone in 60 Seconds,Crime,2000,PG-13,6/9/2000,118,35,6.5,255572,tt0187078,100978700,15,3,15,9,33
Good Will Hunting,Comedy,1997,R,1/9/1998,126,70,8.3,829889,tt0119217,,13,4,7,93,28
Grabbers,Horror,2012,Not Rated,8/10/2012,94,62,6.3,16540,tt1525366,,1,1,0,9,9
Gran Torino,Crime,2008,R,1/9/2009,116,72,8.1,702888,tt1205489,148055047,8,20,36,31,18
Grand Hotel,Romance,1932,Not Rated,9/11/1932,112,,7.4,16495,tt0022958,,0,0,0,0,0
Grand Theft Parsons,Comedy,2003,PG-13,6/18/2004,88,46,6,3273,tt0338075,,3,5,9,2,9
Gravity,Sci-Fi,2013,PG-13,10/4/2013,91,96,7.7,749518,tt1454468,274084951,0,1,2,0,7
Gremlins,Horror,1984,PG,6/8/1984,106,70,7.3,190722,tt0087363,,3,1,6,1,1
Groundhog Day,Romance,1993,PG,2/12/1993,101,72,8,565244,tt0107048,,1,0,2,1,1
Guardians of the Galaxy Vol. 2,Adventure,2017,PG-13,5/5/2017,136,67,7.6,542063,tt3896198,389804217,5,1,9,0,4
Hackers,Thriller,1995,PG-13,9/15/1995,105,46,6.3,64073,tt0113243,,4,1,1,1,24
Hall Pass,Romance,2011,R,2/25/2011,105,45,5.8,117950,tt0480687,45045037,9,1,1,1,9
Halloween,Horror,1978,R,10/27/1978,91,87,7.8,220388,tt0077651,,6,4,3,16,15
Halloween: The Curse of Michael Myers,Horror,1995,R,9/29/1995,87,10,4.9,30004,tt0113253,,6,0,9,6,6
Hancock,Fantasy,2008,PG-13,7/2/2008,92,49,6.4,434647,tt0448157,227946274,13,3,6,30,24
Hannah and Her Sisters,Romance,1986,PG-13,3/14/1986,107,90,7.9,64792,tt0091167,,1,0,2,1,0
Hannibal,Horror,2001,R,2/9/2001,131,57,6.8,247645,tt0212985,163877858,0,1,0,2,0
Happy Feet,Family,2006,PG,11/17/2006,108,77,6.4,165838,tt0366548,197800000,1,0,0,0,1
Hard Rain,Thriller,1998,R,1/16/1998,97,36,5.9,31475,tt0120696,,3,3,11,3,15
Hard to Kill,Romance,1990,R,2/9/1990,96,41,5.8,26659,tt0099739,,7,11,1,18,12
Heat,Thriller,1995,R,12/15/1995,170,76,8.2,557580,tt0113277,,8,5,2,44,8
Heathers,Comedy,1989,R,3/31/1989,103,72,7.2,83648,tt0097493,,16,11,22,28,32
Heavenly Creatures,Horror,1994,R,10/14/1994,99,,7.3,57795,tt0110005,,0,0,5,0,0
Heavy Metal,Horror,1981,R,8/7/1981,86,51,6.7,30539,tt0082509,,3,4,4,2,4
Heist,Thriller,2001,R,11/9/2001,109,66,6.5,32600,tt0252503,23287872,2,3,2,33,5
Hellbound: Hellraiser II,Horror,1988,R,12/23/1988,97,41,6.5,40301,tt0095294,,1,2,0,5,13
Hellboy,Horror,2004,PG-13,4/2/2004,122,72,6.8,301177,tt0167190,59035104,1,0,3,0,0
Hellraiser,Horror,1987,R,9/18/1987,94,57,7,99356,tt0093177,,2,2,10,11,8
Hellraiser: Hellseeker,Horror,2002,R,10/15/2002,89,46,5,10764,tt0274546,,7,2,0,15,6
Henry Fool,Comedy,1997,R,6/19/1998,137,68,7.2,6762,tt0122529,,5,0,1,17,13
Henry's Crime,Crime,2010,R,1/14/2011,108,49,6,18377,tt1220888,100000,0,2,7,12,11
Her,Sci-Fi,2013,R,1/10/2014,126,90,8,518386,tt1798709,17901029,3,1,0,32,6
He's Just Not That Into You,Romance,2009,PG-13,2/6/2009,129,47,6.4,158297,tt1001508,93800000,10,0,0,1,21
Hesher,Drama,2010,R,6/25/2011,106,45,7,49780,tt1403177,300000,8,2,0,98,24
High Fidelity,Romance,2000,R,3/31/2000,113,79,7.5,164661,tt0146882,,14,1,2,65,14
Highlander,Fantasy,1986,R,3/7/1986,116,24,7.1,118150,tt0091203,,2,2,1,0,2
Highlander: Endgame,Sci-Fi,2000,R,9/1/2000,87,21,4.6,19029,tt0144964,,0,0,0,0,0
His Girl Friday,Romance,1940,Passed,1/18/1940,92,,7.9,51664,tt0032599,,0,0,0,0,0
Hitchcock,Drama,2012,PG-13,12/14/2012,98,55,6.8,70613,tt0975645,6002708,0,1,3,0,0
Hollow Man,Horror,2000,R,8/4/2000,112,24,5.8,121015,tt0164052,72055301,3,0,25,16,19
Horrible Bosses,Crime,2011,R,7/8/2011,98,57,6.9,413492,tt1499658,116900000,9,4,8,48,27
Hostage,Thriller,2005,R,3/11/2005,113,44,6.6,105076,tt0340163,34617915,19,2,15,73,25
Hot Tub Time Machine,Sci-Fi,2010,R,3/26/2010,101,63,6.4,159298,tt1231587,48925682,11,1,6,57,23
Hotel Rwanda,War,2004,PG-13,2/4/2005,121,79,8.1,326991,tt0395169,23472900,3,0,0,8,3
House of 1000 Corpses,Horror,2003,R,4/11/2003,89,31,6.1,74271,tt0251736,12583510,17,12,13,84,41
How to Lose Friends & Alienate People,Romance,2008,R,10/3/2008,110,35,6.4,67038,tt0455538,2458092,5,4,0,28,9
How to Train Your Dragon,Animation,2010,PG,3/26/2010,98,75,8.1,647266,tt0892769,216900000,0,0,0,0,0
How to Train Your Dragon 2,Animation,2014,PG,6/13/2014,102,76,7.8,296202,tt1646971,147065544,0,0,0,0,0
Hudson Hawk,Crime,1991,R,5/24/1991,100,17,5.8,50686,tt0102070,,6,5,18,16,13
Human Nature,Comedy,2001,R,9/12/2001,96,56,6.4,17093,tt0219822,651165,3,5,4,14,8
I Am Number Four,Sci-Fi,2011,PG-13,2/18/2011,111,36,6.1,224308,tt1464540,55086029,2,0,3,1,1
I Am Sam,Drama,2001,PG-13,1/25/2002,132,28,7.7,140577,tt0277027,40270895,1,1,6,1,1
I Love You Phillip Morris,Romance,2009,R,1/7/2011,98,65,6.6,90006,tt1045772,2026852,10,4,6,30,14
I Spit on Your Grave,Horror,2010,R,1/20/2011,108,27,6.3,73601,tt1242432,92401,19,10,11,29,32
I'll Do Anything,Comedy,1994,PG-13,2/4/1994,115,,5.5,2389,tt0110097,,0,2,2,11,11
In the Bedroom,Crime,2001,R,2/8/2002,131,86,7.4,36572,tt0247425,35733119,2,3,1,5,3
In the Loop,Comedy,2009,Not Rated,9/4/2009,106,83,7.4,53087,tt1226774,2251324,2,2,0,150,26
Independence Day,Sci-Fi,1996,PG-13,7/3/1996,145,59,7,516789,tt0116629,,4,2,12,3,5
Indiana Jones and the Last Crusade,Adventure,1989,PG-13,5/24/1989,127,65,8.2,671347,tt0097576,,0,0,5,0,0
Indiana Jones and the Temple of Doom,Adventure,1984,PG,5/23/1984,118,57,7.6,434438,tt0087469,,2,0,8,0,1
Inglourious Basterds,War,2009,R,8/21/2009,153,69,8.3,1217923,tt0361748,120523073,9,4,18,39,6
Insidious,Horror,2010,PG-13,4/1/2011,103,52,6.8,269122,tt1591095,53700000,2,3,1,6,4
Insomnia,Thriller,2002,R,5/24/2002,118,78,7.2,265985,tt0278504,67300000,6,4,4,21,13
Interstellar,Sci-Fi,2014,PG-13,11/7/2014,169,74,8.6,1424440,tt0816692,158737441,2,1,2,0,0
Into the Wild,Adventure,2007,R,10/19/2007,148,73,8.1,556447,tt0758758,18173360,4,0,2,4,7
Into the Woods,Adventure,2014,PG,12/25/2014,125,69,5.9,128879,tt2180411,89789227,0,0,0,0,0
Intolerable Cruelty,Romance,2003,PG-13,10/10/2003,100,71,6.2,89079,tt0138524,35096190,12,2,6,2,6
Inventing the Abbotts,Romance,1997,R,4/4/1997,110,49,6.4,11311,tt0119381,,7,1,7,15,21
Invictus,Drama,2009,PG-13,12/11/2009,134,74,7.3,146753,tt1057500,37431431,1,0,2,0,4
It,Horror,2017,R,9/8/2017,135,69,7.3,436909,tt1396484,326898358,8,0,4,10,20
It Happened One Night,Romance,1934,Approved,2/22/1934,105,87,8.1,90473,tt0025316,,0,0,0,0,0
It's a Wonderful Life,Romance,1946,Passed,1/7/1947,130,89,8.6,384831,tt0038650,,0,0,0,0,0
It's Complicated,Romance,2009,R,12/25/2009,120,57,6.5,84281,tt1230414,112703470,3,1,0,0,1
Jackie Brown,Crime,1997,R,12/25/1997,154,64,7.5,306026,tt0119396,,52,8,14,109,64
Jacob's Ladder,Thriller,1990,R,11/2/1990,113,62,7.5,95662,tt0099871,,1,7,29,19,20
Jane Eyre,Romance,2011,PG-13,4/22/2011,120,76,7.3,78895,tt1229822,,0,0,1,0,0
Jason X,Horror,2001,R,4/26/2002,91,25,4.4,48982,tt0211443,12610731,24,12,17,20,39
Jaws,Horror,1975,PG,6/20/1975,124,87,8,531727,tt0073195,,4,5,9,0,1
Jaws 2,Horror,1978,PG,6/16/1978,116,51,5.8,68798,tt0077766,,6,5,18,0,19
Jay and Silent Bob Strike Back,Adventure,2001,R,8/24/2001,104,51,6.8,146326,tt0261392,29885424,38,40,6,202,84
Jennifer's Body,Horror,2009,R,9/18/2009,102,47,5.2,111913,tt1131734,16031583,9,3,2,18,13
Jerry Maguire,Romance,1996,R,12/13/1996,139,77,7.3,234615,tt0116695,,4,1,3,21,10
John Q,Thriller,2002,PG-13,2/15/2002,116,30,7.1,120302,tt0251160,71026631,0,0,0,0,0
John Wick,Thriller,2014,R,10/24/2014,101,68,7.4,514375,tt2911666,,2,1,1,36,9
Joker,Thriller,2019,R,10/4/2019,122,59,8.5,809274,tt7286456,,10,0,0,36,15
Judge Dredd,Sci-Fi,1995,R,6/30/1995,96,,5.6,107979,tt0113492,,10,2,6,6,3
Juno,Romance,2007,PG-13,12/25/2007,96,81,7.4,481291,tt0467406,143380890,10,3,3,4,8
Jurassic Park,Horror,1993,PG-13,6/11/1993,127,68,8.1,836515,tt0107290,45299680,1,1,13,0,12
Jurassic Park III,Horror,2001,PG-13,7/18/2001,92,42,5.9,288763,tt0163025,,1,0,7,0,3
Kafka,Drama,1991,PG-13,11/15/1991,98,46,6.9,9089,tt0102181,,0,0,1,0,0
Kalifornia,Thriller,1993,R,9/3/1993,117,49,6.7,49891,tt0107302,,7,7,9,22,14
Kate & Leopold,Romance,2001,PG-13,12/25/2001,118,44,6.4,77364,tt0035423,47095453,0,1,1,4,6
Kids,Drama,1995,Unrated,9/1/1995,91,63,7.1,71099,tt0113540,,9,12,2,99,42
Kill Your Darlings,Romance,2013,R,9/19/2013,104,65,6.5,34380,tt1311071,679958,1,2,8,11,5
Killing Zoe,Thriller,1993,R,9/1/1994,96,,6.5,19391,tt0110265,,10,5,7,82,21
Knocked Up,Romance,2007,R,6/1/2007,129,85,6.9,343267,tt0478311,148734225,22,6,3,121,53
Kramer vs. Kramer,Drama,1979,PG,12/19/1979,105,77,7.8,128018,tt0079417,,1,3,9,2,10
Kundun,Drama,1997,PG-13,1/16/1998,134,74,7,25507,tt0119485,,0,0,0,0,0
Kung Fu Panda,Family,2008,PG,6/6/2008,92,74,7.5,405963,tt0441773,215395021,0,0,0,0,0
Labor of Love,Romance,2020,N/A,5/21/2020,,,3,108,tt12237066,,2,1,5,2,10
Lake Placid,Horror,1999,R,7/16/1999,82,34,5.7,53156,tt0139414,,2,0,1,13,12
Land of the Dead,Horror,2005,R,6/24/2005,93,71,6.2,90019,tt0418819,20433940,5,1,3,30,9
Larry Crowne,Romance,2011,PG-13,7/1/2011,98,41,6.1,61791,tt1583420,35565975,5,1,3,1,1
Last Chance Harvey,Romance,2008,PG-13,1/16/2009,93,57,6.6,20161,tt1046947,14840421,1,0,1,6,4
Last Tango in Paris,Romance,1972,NC-17,2/7/1973,129,77,7,48278,tt0070849,,10,0,6,25,14
Law Abiding Citizen,Thriller,2009,R,10/16/2009,109,34,7.4,264575,tt1197624,73343413,15,5,8,43,32
Leaving Las Vegas,Romance,1995,R,2/9/1996,111,82,7.5,111717,tt0113627,,4,0,1,38,3
Legally Blonde,Comedy,2001,PG-13,7/13/2001,96,59,6.3,178156,tt0250494,95001351,13,5,3,2,3
Legend,Romance,2015,R,11/20/2015,132,55,6.9,152324,tt3569230,14146549,2,0,3,0,1
Legion,Horror,2010,R,1/22/2010,100,32,5.2,97302,tt1038686,40168080,4,6,12,50,11
Leviathan,Horror,2014,R,2/5/2015,140,92,7.6,47377,tt2802154,754393,8,5,12,28,21
Liar Liar,Fantasy,1997,PG-13,3/21/1997,86,70,6.9,273714,tt0119528,,3,1,5,0,6
Life,Comedy,2017,R,3/24/2017,104,54,6.6,199775,tt5442430,30180466,13,10,28,19,16
Life as a House,Comedy,2001,R,11/9/2001,125,45,7.5,42248,tt0264796,15412701,4,1,2,16,11
Life of Pi,Adventure,2012,PG,11/21/2012,127,79,7.9,566900,tt0454876,103500000,0,0,0,0,0
Light Sleeper,Drama,1992,R,3/13/1992,103,70,6.9,5232,tt0102307,,5,1,2,26,8
Lincoln,Drama,2012,PG-13,11/16/2012,150,86,7.3,239062,tt0443272,129477447,0,2,18,1,3
Little Athens,Comedy,2005,R,6/1/2005,103,,5.6,902,tt0417907,,41,11,1,136,79
Little Men,Drama,2016,PG,5/4/2017,85,86,6.7,6675,tt4919484,702191,0,2,2,1,1
Little Nicky,Horror,2000,PG-13,11/10/2000,90,38,5.3,95788,tt0185431,38542597,13,1,7,0,11
Living in Oblivion,Comedy,1995,R,7/21/1995,90,81,7.5,15918,tt0113677,,8,0,5,47,13
Logan,Sci-Fi,2017,R,3/3/2017,137,77,8.1,619868,tt3315342,226276809,11,1,4,35,19
Logan's Run,Sci-Fi,1976,PG,6/23/1976,119,53,6.8,50342,tt0074812,,0,0,5,0,0
Looper,Sci-Fi,2012,R,9/28/2012,113,84,7.4,522483,tt1276104,66305045,3,0,8,29,13
Lord of Illusions,Horror,1995,R,8/25/1995,109,,6.1,14199,tt0113690,,2,1,4,32,18
Lord of War,Crime,2005,R,9/16/2005,122,62,7.6,288049,tt0399295,24033036,2,0,2,54,3
Lost in Space,Sci-Fi,2018,TV-PG,4/13/2018,60,,7.3,69373,tt5232792,,1,1,11,0,2
Lost in Translation,Romance,2003,R,10/3/2003,102,89,7.7,398514,tt0335266,44566004,0,0,0,3,1
