Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Super 8,Mystery,2011,PG-13,6/10/2011,112,72,7,332405,tt1650062,126975169,5,2,5,8,17
Superbad,Comedy,2007,R,8/17/2007,113,76,7.6,508694,tt0829482,121463226,28,16,4,123,71
Supergirl,Sci-Fi,2015,TV-PG,10/26/2015,43,,6.3,106927,tt4016454,,1,1,0,0,0
Surrogates,Sci-Fi,2009,PG-13,9/25/2009,89,45,6.3,167007,tt0986263,38542418,7,2,8,0,2
Suspect Zero,Horror,2004,R,8/27/2004,99,37,5.8,18572,tt0324127,8570393,4,0,3,31,13
Sweet Smell of Success,Film-Noir,1957,Approved,7/4/1957,96,100,8.1,26523,tt0051036,,0,0,0,0,0
Swingers,Comedy,1996,R,4/11/1997,96,71,7.2,73586,tt0117802,,19,26,3,26,25
Swordfish,Thriller,2001,R,6/8/2001,99,32,6.5,173365,tt0244244,,11,2,2,29,18
Syriana,Thriller,2005,R,12/9/2005,128,76,6.9,123836,tt0365737,50800000,4,0,8,19,12
Take Shelter,Thriller,2011,R,11/10/2011,120,85,7.4,88699,tt1675192,1600000,1,2,1,4,10
Taking Lives,Horror,2004,R,3/19/2004,103,38,6.3,78540,tt0364045,32634479,7,2,3,8,11
Taking Sides,Drama,2001,Not Rated,3/7/2002,108,61,7.2,2993,tt0260414,,0,0,3,8,6
Tall in the Saddle,Western,1944,Approved,9/29/1944,87,,7,2719,tt0037343,,0,0,0,0,0
Tamara Drewe,Romance,2010,R,9/10/2010,107,64,6.2,20168,tt1486190,560101,2,2,3,42,15
Taxi Driver,Crime,1976,R,2/9/1976,114,94,8.3,695384,tt0075314,,5,2,11,23,8
Ted,Fantasy,2012,R,6/29/2012,106,62,6.9,559475,tt1637725,218100000,18,1,1,73,45
Terminator,Sci-Fi,1991,N/A,N/A,39,,6.1,27,tt5817168,,3,1,4,9,4
Terminator Salvation,Sci-Fi,2009,PG-13,5/21/2009,115,49,6.5,337037,tt0438488,125286889,3,1,7,2,6
The Rage: Carrie 2,Horror,1999,R,3/12/1999,104,42,4.7,15199,tt0144814,,3,5,4,6,11
Thelma & Louise,Crime,1991,R,5/24/1991,130,88,7.5,131689,tt0103074,,15,6,38,18,44
There's Something About Mary,Romance,1998,R,7/15/1998,119,69,7.1,284946,tt0129387,,9,6,6,60,29
They,Horror,2002,PG-13,11/27/2002,89,31,4.8,12153,tt0283632,12575046,0,0,0,0,0
Thirteen Days,Drama,2000,PG-13,1/12/2001,145,67,7.3,52749,tt0146309,,11,3,16,8,16
This Boy's Life,Drama,1993,R,4/23/1993,115,60,7.3,45100,tt0108330,,6,3,13,12,10
This Is 40,Comedy,2012,R,12/21/2012,134,59,6.2,124171,tt1758830,65200000,14,8,6,63,17
Thor,Fantasy,2011,PG-13,5/6/2011,115,57,7,725928,tt0800369,181015141,1,0,2,0,0
Thor: Ragnarok,Adventure,2017,PG-13,11/3/2017,130,74,7.9,555646,tt3501632,314971245,6,1,2,0,3
Three Kings,War,1999,R,10/1/1999,114,82,7.1,157590,tt0120188,,14,1,10,43,28
Three Men and a Baby,Family,1987,PG,11/25/1987,102,61,6,46024,tt0094137,,30,9,29,11,39
Thunderbirds,Adventure,2004,PG,7/30/2004,95,36,4.2,12891,tt0167456,6768055,1,0,2,0,0
Thunderheart,Mystery,1992,R,4/3/1992,119,,6.8,13569,tt0105585,,11,2,11,37,26
Ticker,Crime,2001,R,6/23/2001,92,,3.6,6489,tt0196158,,1,2,2,15,11
Timber Falls,Horror,2007,R,5/23/2008,100,,5.2,5721,tt0857295,,5,5,6,34,7
Tin Cup,Romance,1996,R,8/16/1996,135,60,6.4,45017,tt0117918,,23,2,14,15,25
Tin Men,Comedy,1987,R,3/13/1987,112,75,6.5,7527,tt0094155,,15,15,17,27,15
Tinker Tailor Soldier Spy,Mystery,2011,R,1/6/2012,122,85,7.1,182286,tt1340800,20200000,0,0,10,9,0
Titanic,Romance,1997,PG-13,12/19/1997,194,75,7.8,1015018,tt0120338,,1,2,17,2,10
TMNT,Animation,2007,PG,3/23/2007,103,41,6.2,60242,tt0453556,54132596,4,0,0,0,0
To Sleep with Anger,Drama,1990,PG,10/12/1990,102,,7.3,1640,tt0100791,,4,0,11,0,0
Tombstone,Western,1993,R,12/25/1993,130,50,7.8,122147,tt0108358,,4,5,27,1,1
Tomorrow Never Dies,Adventure,1997,PG-13,12/19/1997,119,52,6.5,176993,tt0120347,,1,0,7,0,0
Top Gun,Drama,1986,PG,5/16/1986,110,50,6.9,283087,tt0092099,,3,6,14,0,11
Total Recall,Sci-Fi,1990,R,6/1/1990,113,57,7.5,291951,tt0100802,119000000,0,1,0,2,4
Toy Story,Animation,1995,G,11/22/1995,81,95,8.3,857038,tt0114709,,0,0,0,0,0
Traffic,Crime,2000,R,1/5/2001,147,86,7.6,192068,tt0181865,123836420,1,0,3,48,17
Training Day,Thriller,2001,R,10/5/2001,122,69,7.7,378654,tt0139654,,44,11,6,121,104
Trainspotting,Drama,1996,R,8/9/1996,93,83,8.1,619568,tt0117951,,0,0,0,104,5
Tremors,Horror,1990,PG-13,1/19/1990,96,65,7.1,116480,tt0100814,,20,12,48,9,8
Tristan and Isolde,Romance,1981,N/A,1/15/1982,84,,6.6,71,tt0089146,,0,0,0,0,0
TRON,Sci-Fi,1982,PG,7/9/1982,96,58,6.8,110680,tt0084827,,0,0,2,0,0
TRON: Legacy,Sci-Fi,2010,PG,12/17/2010,125,49,6.8,307359,tt1104001,172051787,0,0,2,0,0
Tropic Thunder,War,2008,R,8/13/2008,107,71,7,369925,tt0942385,110416702,15,5,2,25,23
True Grit,Western,2010,PG-13,12/22/2010,110,80,7.6,301962,tt1403865,171031347,1,3,9,0,0
True Lies,Romance,1994,R,7/15/1994,141,63,7.2,231028,tt0111503,,2,14,10,3,17
True Romance,Romance,1993,R,9/10/1993,119,59,7.9,199873,tt0108399,,0,0,0,0,0
Twilight,Romance,2008,PG-13,11/21/2008,122,56,5.2,412755,tt1099212,191449475,1,0,0,0,0
Twin Peaks,Mystery,1990,TV-MA,4/8/1990,47,,8.8,167193,tt0098936,,1,0,6,3,5
Twins,Sci-Fi,1988,PG,12/9/1988,107,53,6.1,109641,tt0096320,,3,1,4,1,19
Two for the Money,Thriller,2005,R,10/7/2005,122,50,6.3,42584,tt0417217,22862049,16,6,12,104,22
U Turn,Thriller,1997,R,10/3/1997,125,54,6.8,48185,tt0120399,,17,15,23,63,27
Unbreakable,Fantasy,2000,PG-13,11/22/2000,106,62,7.3,377826,tt0217869,95000000,3,1,2,1,4
Under Fire,Drama,1983,R,10/21/1983,128,,7,6556,tt0086510,,4,2,7,29,4
Unknown,Mystery,2011,PG-13,2/18/2011,113,56,6.8,243834,tt1401152,63677735,0,2,3,2,2
Up,Animation,2009,PG,5/29/2009,96,88,8.2,904824,tt1049413,292979556,0,0,0,0,0
Up in the Air,Romance,2009,R,12/23/2009,109,83,7.4,312450,tt1193138,83775048,8,0,0,28,10
V for Vendetta,Sci-Fi,2005,R,3/17/2006,132,62,8.2,1002654,tt0434409,70500000,1,1,11,8,2
Valkyrie,War,2008,PG-13,12/25/2008,121,56,7.1,223731,tt0985699,82989109,0,1,5,5,4
Vanilla Sky,Mystery,2001,R,12/14/2001,136,45,6.9,242934,tt0259711,,2,2,0,33,7
Very Bad Things,Thriller,1998,R,11/25/1998,100,31,6.4,44249,tt0124198,,8,2,6,66,11
Virtuosity,Sci-Fi,1995,R,8/4/1995,106,39,5.6,27248,tt0114857,,8,8,2,7,7
Wag the Dog,Comedy,1997,R,1/9/1998,97,73,7.2,77317,tt0120885,,1,0,2,8,5
Walking Tall,Thriller,2004,PG-13,4/2/2004,86,44,6.3,69155,tt0351977,45860039,3,1,0,1,1
Wall Street,Crime,1987,R,12/11/1987,126,56,7.4,139830,tt0094291,,7,10,10,3,6
Wall Street: Money Never Sleeps,Drama,2010,PG-13,9/24/2010,133,59,6.2,96388,tt1027718,52474616,6,3,3,35,12
Wanted,Crime,2008,R,6/27/2008,110,64,6.7,353077,tt0493464,134294280,10,5,17,23,14
War for the Planet of the Apes,Adventure,2017,PG-13,7/14/2017,140,82,7.4,220013,tt3450958,146872826,0,0,0,1,1
War Horse,War,2011,PG-13,12/25/2011,146,72,7.2,143515,tt1568911,79883359,0,0,1,0,0
War of the Worlds,Sci-Fi,2005,PG-13,6/29/2005,116,73,6.5,405645,tt0407304,234141872,2,0,3,0,6
Warm Springs,Drama,2005,Not Rated,4/30/2005,121,,7.5,2473,tt0423510,,0,3,13,0,0
Warrior,Drama,2011,PG-13,9/9/2011,140,71,8.2,423944,tt1291584,13600000,1,3,3,1,14
Watchmen,Sci-Fi,2009,R,3/6/2009,162,56,7.6,487586,tt0409459,107453620,3,3,12,0,6
Water for Elephants,Romance,2011,PG-13,4/22/2011,120,52,6.9,109237,tt1067583,58700247,3,1,9,1,7
We Own the Night,Crime,2007,R,10/12/2007,117,59,6.8,83351,tt0498399,27600000,5,1,5,65,15
What About Bob?,Comedy,1991,PG,5/17/1991,99,60,7,60767,tt0103241,,6,4,1,0,3
What Lies Beneath,Mystery,2000,PG-13,7/21/2000,130,51,6.6,115116,tt0161081,155018556,3,3,1,4,3
When a Stranger Calls,Horror,2006,PG-13,2/3/2006,87,27,5.1,42023,tt0455857,47860214,0,0,3,1,0
While She Was Out,Crime,2008,R,3/26/2009,86,40,4.8,6285,tt0887971,,12,12,4,5,12
White Squall,Adventure,1996,PG-13,2/2/1996,129,53,6.6,20658,tt0118158,,1,7,8,6,9
Whiteout,Mystery,2009,R,9/11/2009,101,,5.5,36710,tt0365929,10300000,4,4,7,3,7
Who Framed Roger Rabbit,Family,1988,PG,6/22/1988,104,83,7.7,177122,tt0096438,,1,2,6,0,1
Who's Your Daddy?,Comedy,2002,R,1/20/2004,105,,4.7,4295,tt0287138,,6,0,1,3,4
Wild at Heart,Romance,1990,R,8/17/1990,125,52,7.2,80227,tt0100935,,7,4,9,38,20
Wild Hogs,Adventure,2007,PG-13,3/2/2007,100,27,5.8,112516,tt0486946,168213584,20,8,9,0,12
Wild Things,Crime,1998,R,3/20/1998,108,52,6.5,105203,tt0120890,,9,6,4,22,27
Wild Things: Diamonds in the Rough,Mystery,2005,R,2/19/2005,87,,4.5,4528,tt0448179,,5,10,10,16,14
Wild Wild West,Western,1999,PG-13,6/30/1999,106,38,4.9,150148,tt0120891,,9,0,11,1,5
Willow,Fantasy,1988,PG,5/20/1988,126,47,7.3,98271,tt0096446,,0,0,0,0,0
Win Win,Comedy,2011,R,4/15/2011,106,75,7.1,52319,tt1606392,10100000,3,0,3,19,32
Wind Chill,Horror,2007,R,8/3/2007,91,52,5.8,21423,tt0486051,,7,0,4,1,10
Witness,Romance,1985,R,2/8/1985,112,76,7.4,83584,tt0090329,,1,2,6,3,6
Wonder Boys,Comedy,2000,R,2/25/2000,107,73,7.3,60120,tt0185014,,3,1,6,14,14
Wonder Woman,Fantasy,2017,PG-13,6/2/2017,141,76,7.4,531221,tt0451279,412400625,0,0,0,0,0
X-Men,Sci-Fi,2000,PG-13,7/14/2000,104,64,7.4,559246,tt0120903,156164829,1,0,1,0,0
X-Men Origins: Wolverine,Sci-Fi,2009,PG-13,5/1/2009,107,40,6.6,457050,tt0458525,179737340,2,1,6,0,0
xXx,Adventure,2002,PG-13,8/9/2002,124,48,5.9,171012,tt0295701,141134092,11,6,8,0,19
Year One,Adventure,2009,PG-13,6/19/2009,97,34,4.9,90154,tt1045778,43337279,9,0,2,1,5
Yes Man,Romance,2008,PG-13,12/19/2008,104,46,6.8,327362,tt1068680,97600000,2,3,2,2,10
You Can Count on Me,Drama,2000,R,12/22/2000,111,85,7.5,27273,tt0203230,8409329,4,1,4,15,16
Youth in Revolt,Romance,2009,R,1/8/2010,90,63,6.4,71723,tt0403702,15150933,7,0,5,5,5
You've Got Mail,Romance,1998,PG,12/18/1998,119,57,6.6,188515,tt0128853,,1,1,2,4,5
Zero Dark Thirty,Thriller,2012,R,1/11/2013,157,95,7.4,264319,tt1790885,95720716,4,1,1,45,7
Zerophilia,Romance,2005,N/A,10/13/2006,90,41,6.2,2176,tt0421090,,8,3,7,15,5
Zootopia,Animation,2016,PG,3/4/2016,108,78,8,416353,tt2948356,341264012,0,0,0,0,0
28 Days Later,Horror,2002,R,6/27/2003,113,73,7.6,367331,tt0289043,44900469,0,0,0,48,12
8MM,Mystery,1999,R,2/26/1999,123,19,6.5,120927,tt0134273,,2,1,1,52,8
A Dry White Season,Thriller,1989,R,9/20/1989,106,68,7,4806,tt0097243,,0,0,4,3,7
A Few Good Men,Mystery,1992,R,12/11/1992,138,62,7.7,227719,tt0104257,,5,1,10,13,14
A Nightmare on Elm Street,Mystery,1984,R,11/16/1984,91,76,7.5,198579,tt0087800,,4,0,8,11,8
A Perfect World,Crime,1993,PG-13,11/24/1993,138,71,7.6,71562,tt0107808,,9,3,13,2,12
A Quiet Place,Horror,2018,PG-13,4/6/2018,90,82,7.5,383773,tt6644200,,0,0,0,0,0
A Walk to Remember,Romance,2002,PG,1/25/2002,101,35,7.4,195121,tt0281358,41090572,1,0,0,0,5
Above the Law,Action,1988,R,4/22/1988,99,45,6,27778,tt0094602,,16,2,5,29,10
After.Life,Horror,2009,R,8/26/2010,104,36,5.9,35655,tt0838247,,0,1,0,19,6
Agnes of God,Mystery,1985,PG-13,9/27/1985,98,52,6.6,6581,tt0088683,,0,1,1,0,2
Aladdin,Musical,1992,G,11/25/1992,90,86,8,359318,tt0103639,,0,0,0,0,0
Alien,Horror,1979,R,6/22/1979,117,89,8.4,759818,tt0078748,,0,0,11,1,5
Alien 3,Horror,1992,R,5/22/1992,114,59,6.5,269549,tt0103644,,1,0,3,6,7
Alien vs. Predator,Horror,2004,PG-13,8/13/2004,101,29,5.6,180405,tt0370263,80218314,3,3,6,15,16
Alien: Resurrection,Horror,1997,R,11/26/1997,109,63,6.2,222700,tt0118583,,7,6,8,88,13
Alone in the Dark,Horror,2005,R,1/28/2005,96,9,2.4,41244,tt0369226,5132655,3,0,5,1,1
American Outlaws,Western,2001,PG-13,8/17/2001,94,25,6,13678,tt0244000,11888985,1,3,9,0,2
American Psycho,Horror,2000,R,4/14/2000,101,64,7.6,466451,tt0144084,,7,11,3,37,5
American Werewolf in London,Horror,1981,R,8/21/1981,97,60,7.5,88546,tt0082010,,4,0,1,9,7
Anastasia,Musical,1997,G,11/21/1997,94,61,7.2,108544,tt0118617,,0,0,0,0,0
Angels & Demons,Mystery,2009,PG-13,5/15/2009,138,48,6.7,266342,tt0808151,133375846,1,0,5,0,1
Apocalypse Now,War,1979,R,8/15/1979,147,94,8.4,585151,tt0078788,,4,10,25,24,16
April Fool's Day,Mystery,1986,R,3/28/1986,89,49,6.2,13633,tt0090655,,5,1,3,16,14
Army of Darkness,Horror,1992,R,2/19/1993,81,57,7.5,158476,tt0106308,,2,1,6,0,2
Backdraft,Mystery,1991,R,5/24/1991,137,38,6.7,69563,tt0101393,,13,13,34,32,28
Bad Day at Black Rock,Western,1955,Passed,5/15/1955,81,,7.7,18452,tt0047849,,0,0,0,0,0
Bad Dreams,Horror,1988,R,4/8/1988,80,,5.7,3196,tt0094701,,3,0,11,16,20
Barry Lyndon,War,1975,PG,12/18/1975,185,89,8.1,143450,tt0072684,,0,0,0,0,0
Basic,Mystery,2003,R,3/28/2003,98,34,6.5,58076,tt0264395,26536120,6,3,4,58,15
Basic Instinct,Mystery,1992,R,3/20/1992,127,41,7,166838,tt0103772,,3,5,13,31,4
Beasts of No Nation,War,2015,Not Rated,10/16/2015,137,79,7.7,70500,tt1365050,83861,1,0,0,2,0
Beauty and the Beast,Musical,1991,G,11/22/1991,84,95,8,408312,tt0101414,47611331,0,0,1,0,0
Black Swan,Mystery,2010,R,12/17/2010,108,79,8,681983,tt0947798,106952327,2,0,1,19,1
Blade,Horror,1998,R,8/21/1998,120,45,7.1,238183,tt0120611,,3,0,5,10,4
Blade II,Horror,2002,R,3/22/2002,117,52,6.7,195387,tt0187738,82000000,5,4,2,39,16
Blade: Trinity,Horror,2004,R,12/8/2004,113,38,5.9,162323,tt0359013,52400000,11,1,7,20,7
Blue Velvet,Mystery,1986,R,10/23/1986,120,76,7.8,174951,tt0090756,,1,3,3,39,11
Bonfire of the Vanities,Drama,1990,R,12/21/1990,125,27,5.6,21098,tt0099165,,8,7,4,31,19
Braveheart,War,1995,R,5/24/1995,178,68,8.3,936584,tt0112573,,4,1,3,0,0
Brick,Mystery,2005,R,4/14/2006,110,72,7.3,99286,tt0393109,1973180,0,0,2,0,0
Buried,Mystery,2010,R,10/15/2010,95,65,7,146090,tt1462758,200000,1,2,2,10,9
Burlesque,Musical,2010,PG-13,11/24/2010,119,47,6.4,76136,tt1126591,39440655,20,9,24,0,20
Cable Guy,Thriller,1996,PG-13,6/14/1996,96,56,6.1,148526,tt0115798,,5,3,6,0,4
Carrie,Horror,1976,R,11/16/1976,98,85,7.4,161967,tt0074285,,2,1,8,4,14
Case 39,Mystery,2009,R,10/1/2010,109,25,6.2,75799,tt0795351,13248477,0,0,3,1,5
Cellular,Mystery,2004,PG-13,9/10/2004,94,60,6.5,91152,tt0337921,32003620,20,7,28,2,29
Changeling,Mystery,2008,R,10/31/2008,141,63,7.7,232041,tt0824747,35707327,1,1,6,4,4
Charade,Mystery,1963,Passed,12/5/1963,113,83,7.9,65288,tt0056923,,0,0,1,0,0
Chasing Sleep,Horror,2000,R,5/16/2001,104,,6.3,3086,tt0221069,,2,5,8,10,6
Cherry Falls,Mystery,2000,R,8/25/2000,92,,5.2,11902,tt0175526,,2,0,4,33,8
Chinatown,Mystery,1974,R,6/20/1974,130,92,8.2,283470,tt0071315,,4,8,2,1,6
Citizen Kane,Mystery,1941,PG,9/5/1941,119,100,8.3,386432,tt0033467,,0,0,0,0,0
Color of Night,Mystery,1994,R,8/19/1994,121,36,5.2,22268,tt0109456,,7,7,13,55,19
Constantine,Horror,2005,R,2/18/2005,121,50,7,296249,tt0360486,75400000,6,2,10,2,19
Copycat,Mystery,1995,R,10/27/1995,123,54,6.6,52422,tt0112722,,8,11,18,13,10
Crying Game,Romance,1992,R,2/19/1993,112,90,7.2,49460,tt0104036,,2,7,0,71,3
Cube,Mystery,1997,R,7/11/1998,90,61,7.2,204667,tt0123755,,0,0,0,0,0
Dances with Wolves,Western,1990,PG-13,11/21/1990,181,72,8,233089,tt0099348,,3,2,5,0,0
Dark City,Mystery,1998,R,2/27/1998,100,66,7.6,184177,tt0118929,,0,0,6,1,5
Dawn of the Dead,Horror,2004,R,3/19/2004,101,59,7.3,229043,tt0363547,58885635,0,0,0,0,0
Day of the Dead,Horror,1985,Not Rated,7/19/1985,96,60,7.2,61352,tt0088993,,12,1,8,2,14
Deception,Mystery,2008,R,4/25/2008,107,31,6.1,37150,tt0800240,4575019,1,0,7,6,4
Deep Rising,Horror,1998,R,1/30/1998,106,,6.1,32461,tt0118956,,10,4,11,4,25
Detroit Rock City,Musical,1999,R,8/13/1999,95,33,6.9,34659,tt0165710,,30,7,6,41,30
Devil in a Blue Dress,Mystery,1995,R,9/29/1995,102,78,6.7,16786,tt0112857,,8,6,24,5,11
Devil's Advocate,Horror,1997,R,10/17/1997,144,60,7.5,318388,tt0118971,,10,3,9,47,16
Django Unchained,Western,2012,R,12/25/2012,165,81,8.4,1303854,tt1853728,162804648,52,16,43,41,15
Drag Me to Hell,Horror,2009,PG-13,5/29/2009,99,83,6.5,184194,tt1127180,42100000,1,3,4,3,0
Duck Soup,Musical,1933,Not Rated,11/17/1933,69,93,7.8,54091,tt0023969,,0,0,0,0,0
E.T.,Sci-Fi,1982,PG,6/11/1982,115,91,7.8,358478,tt0083866,,0,0,0,0,1
Eagle Eye,Mystery,2008,PG-13,9/26/2008,118,43,6.6,172786,tt1059786,101111837,6,3,5,21,35
Eastern Promises,Mystery,2007,R,9/21/2007,100,82,7.6,222848,tt0765443,17114882,0,6,1,37,1
Eight Legged Freaks,Horror,2002,PG-13,7/17/2002,99,53,5.4,51748,tt0271367,17231006,0,1,5,1,3
El Mariachi,Western,1992,R,2/26/1993,81,73,6.9,61839,tt0104815,,1,0,1,0,0
El Mariachi,Western,1992,R,2/26/1993,81,73,6.9,61839,tt0104815,,0,0,0,0,0
Event Horizon,Horror,1997,R,8/15/1997,96,35,6.7,152722,tt0119081,,3,1,4,13,13
Evil Dead,Horror,2013,R,4/5/2013,91,57,6.5,153127,tt1288558,54200000,0,0,3,0,2
Ex Machina,Mystery,2014,R,4/24/2015,108,78,7.7,457451,tt0470752,19012798,0,0,2,29,6
Fantastic Mr Fox,Family,2009,N/A,10/24/2009,,,7.8,29,tt1531905,,0,0,0,0,0
Feast,Horror,2005,R,1/18/2007,95,43,6.3,29126,tt0426459,,10,4,15,27,23
Final Destination,Horror,2000,R,3/17/2000,98,36,6.7,222992,tt0195714,,2,0,0,34,8
Final Destination 2,Horror,2003,R,1/31/2003,90,38,6.2,148464,tt0309593,46500000,5,3,14,26,19
Four Feathers,War,1915,N/A,5/24/2015,,,7.3,23,tt0005353,,0,0,0,0,0
Frankenstein,Horror,1931,Passed,11/21/1931,70,91,7.8,62808,tt0021884,,2,0,6,0,1
Freddy vs. Jason,Horror,2003,R,8/15/2003,97,37,5.7,107876,tt0329101,82200000,7,32,10,6,7
Friday the 13th,Mystery,1980,R,5/9/1980,95,22,6.5,113868,tt0080761,,1,0,4,2,4
Friday the 13th Part VIII: Jason Takes Manhattan,Horror,1989,R,7/28/1989,100,14,4.6,32248,tt0097388,,2,2,3,6,6
Fright Night,Horror,2011,R,8/19/2011,106,64,6.3,97730,tt1438176,18298649,2,2,2,17,21
Get Low,Mystery,2009,PG-13,8/27/2010,103,77,7,21781,tt1194263,9176469,4,7,14,1,3
Get Out,Mystery,2017,R,2/24/2017,104,85,7.7,463872,tt5052448,175428355,4,2,9,31,33
Ghostbusters 2,Sci-Fi,2014,N/A,9/16/2014,17,,6.4,5,tt4083432,,0,0,1,0,2
Godfather Part II,Crime,1974,R,12/18/1974,202,90,9,1087543,tt0071562,,3,5,8,2,3
Gone Baby Gone,Mystery,2007,R,10/19/2007,114,72,7.6,243532,tt0452623,20300218,6,7,2,84,26
Gothika,Mystery,2003,R,11/21/2003,98,38,5.8,104043,tt0348836,59537388,1,2,11,15,6
Gremlins 2,Horror,1990,PG-13,6/15/1990,106,,6.4,89769,tt0099700,,1,0,2,0,1
Hanna,Mystery,2011,PG-13,4/8/2011,111,65,6.8,186310,tt0993842,40200000,0,1,0,8,7
Hellraiser: Deader,Mystery,2005,R,6/7/2005,88,,4.6,8665,tt0337636,,1,0,4,8,4
Honeydripper,Musical,2007,PG-13,5/9/2008,124,68,6.6,1856,tt0829193,,6,0,14,0,1
I Still Know What You Did Last Summer,Mystery,1998,R,11/13/1998,100,21,4.7,66809,tt0130018,,0,0,6,0,0
Inception,Mystery,2010,PG-13,7/16/2010,148,74,8.8,1980743,tt1375666,292568851,2,0,3,0,1
Interview with the Vampire,Horror,1994,R,11/11/1994,123,59,7.6,287024,tt0110148,,0,0,6,0,5
JFK,Mystery,1991,R,12/20/1991,189,72,8,137118,tt0102138,,6,16,28,50,17
Jimmy and Judy,Action,2006,R,2/5/2006,99,,6,1509,tt0425151,,15,9,7,108,35
Jurassic Park: The Lost World,Horror,1997,N/A,N/A,13,,7.1,52,tt0369690,,1,1,0,0,1
King Kong,Mystery,2005,PG-13,12/14/2005,187,81,7.2,382593,tt0360717,218100000,0,0,3,0,0
Klute,Mystery,1971,R,6/25/1971,114,81,7.1,21360,tt0067309,,0,3,3,0,0
L.A. Confidential,Mystery,1997,R,9/19/1997,138,90,8.2,517644,tt0119488,,4,0,6,38,13
La La Land,Musical,2016,PG-13,12/25/2016,128,94,8,481024,tt3783958,151058124,2,0,3,3,5
Labyrinth,Musical,1986,PG,6/27/1986,101,50,7.4,120325,tt0091369,,0,0,6,0,0
Les Miserables,Musical,1978,Not Rated,12/27/1978,150,,7.3,1526,tt0077936,,0,1,4,0,1
Limitless,Mystery,2011,PG-13,3/18/2011,105,59,7.4,516481,tt1219289,79230923,5,1,1,38,17
Lone Star,Mystery,1996,R,6/21/1996,135,78,7.4,27357,tt0116905,,4,4,15,6,6
Lord of the Rings: Return of the King,Fantasy,2003,Not Rated,12/12/2003,52,,6.5,290,tt0405185,,0,0,0,0,0
Lord of the Rings: The Two Towers,Fantasy,2002,PG-13,12/18/2002,179,87,8.7,1438266,tt0167261,339700000,0,0,0,0,0
Lost Highway,Mystery,1997,R,1/15/1997,134,52,7.6,126709,tt0116922,,2,2,3,13,6
Lost Horizon,Mystery,1937,Approved,9/1/1937,132,,7.7,11468,tt0029162,,0,0,0,0,0
Man in the Iron Mask,Adventure,1998,PG-13,3/13/1998,132,48,6.5,153059,tt0120744,,0,0,0,0,2
Manhattan Murder Mystery,Mystery,1993,PG,8/18/1993,104,,7.4,37757,tt0107507,,0,0,2,0,1
Mary Poppins,Musical,1964,G,6/18/1965,139,88,7.8,153025,tt0058331,,0,0,0,0,0
Master and Commander,Adventure,2003,PG-13,11/14/2003,138,81,7.4,196696,tt0311113,92100000,0,0,8,0,0
Meet Joe Black,Mystery,1998,PG-13,11/13/1998,178,43,7.2,208443,tt0119643,,4,2,8,4,7
